ApplicationNumber,Graduate,Residence,MaritalStatus
10405,Yes,Urban,Married
10406,No,Rural,Married
10407,No,Urban,Married
10408,Yes,Semi Urban,Married
10409,No,Semi Urban,Married
10410,No,Semi Urban,Married
10411,No,Urban,Married
10412,No,Urban,Married
10413,No,Urban,Married
10414,No,Rural,Married
10415,Yes,Urban,Married
10416,No,Rural,Married
10417,No,Urban,Married
10418,No,Rural,Married
10419,Yes,Rural,Single
10420,No,Rural,Single
10421,No,Rural,Married
10422,No,Rural,Single
10423,Yes,Urban,Single
10424,No,Rural,Married
10425,No,Urban,Married
10426,Yes,Semi Urban,Married
10427,No,Urban,Married
10428,No,Semi Urban,Married
10429,Yes,Urban,Single
10430,No,Rural,Married
10431,No,Rural,Married
10432,No,Rural,Married
10433,No,Rural,Single
10434,No,Urban,Single
10435,Yes,Urban,Married
10436,No,Urban,Single
10437,Yes,Semi Urban,Married
10438,Yes,Urban,Married
10439,No,Semi Urban,Married
10440,No,Rural,Married
10441,No,Rural,Married
10442,Yes,Semi Urban,Married
10443,No,Urban,Married
10444,No,Rural,Married
10445,No,Urban,Single
10446,No,Rural,Single
10447,No,Rural,Married
10448,No,Rural,Married
10449,No,Rural,Married
10450,Yes,Urban,Single
10451,No,Semi Urban,Single
10452,No,Urban,Married
10453,No,Urban,Married
10454,No,Urban,Married
10455,No,Rural,Married
10456,No,Rural,Married
10457,Yes,Semi Urban,Married
10458,No,Urban,Single
10459,No,Rural,Married
10460,No,Urban,Married
10461,No,Rural,Married
10462,No,Urban,Married
10463,No,Urban,Married
10464,Yes,Rural,Married
10465,No,Rural,Married
10466,No,Semi Urban,Married
10467,No,Semi Urban,Single
10468,No,Urban,Married
10469,No,Urban,Single
10470,No,Urban,Married
10471,Yes,Semi Urban,Married
10472,Yes,Semi Urban,Married
10473,Yes,Semi Urban,Married
10474,No,Rural,Single
10475,No,Semi Urban,Married
10476,Yes,Urban,Married
10477,No,Rural,Single
10478,No,Rural,Married
10479,No,Semi Urban,Married
10480,No,Rural,Single
10481,No,Rural,Married
10482,No,Rural,Married
10483,No,Semi Urban,Married
10484,No,Urban,Married
10485,No,Semi Urban,Married
10486,No,Rural,Married
10487,No,Semi Urban,Married
10488,No,Urban,Married
10489,Yes,Rural,Single
10490,No,Rural,Single
10491,No,Rural,Single
10492,Yes,Semi Urban,Married
10493,No,Rural,Married
10494,No,Rural,Married
10495,No,Semi Urban,Married
10496,Yes,Urban,Married
10497,No,Semi Urban,Married
10498,No,Rural,Single
10499,No,Rural,Single
10500,No,Rural,Married
10501,No,Urban,Single
10502,No,Rural,Married
10503,No,Rural,Married
10504,No,Rural,Married
10505,No,Urban,Married
10506,No,Rural,Married
10507,No,Semi Urban,Married
10508,No,Rural,Married
10509,Yes,Rural,Married
10510,No,Urban,Single
10511,Yes,Rural,Married
10512,No,Urban,Married
10513,No,Semi Urban,Married
10514,Yes,Semi Urban,Single
10515,No,Urban,Married
10516,No,Rural,Married
10517,Yes,Urban,Married
10518,Yes,Rural,Married
10519,No,Rural,Married
10520,No,Rural,Single
10521,No,Urban,Married
10522,No,Urban,Single
10523,No,Urban,Married
10524,No,Urban,Single
10525,No,Rural,Married
10526,No,Rural,Single
10527,No,Urban,Married
10528,Yes,Semi Urban,Married
10529,Yes,Semi Urban,Married
10530,Yes,Rural,Married
10531,No,Rural,Married
10532,No,Rural,Single
10533,No,Urban,Married
10534,No,Urban,Married
10535,No,Semi Urban,Single
10536,No,Rural,Married
10537,No,Rural,Married
10538,No,Rural,Married
10539,No,Urban,Married
10540,No,Rural,Married
10541,No,Rural,Single
10542,No,Rural,Married
10543,No,Semi Urban,Married
10544,Yes,Rural,Married
10545,No,Rural,Married
10546,No,Urban,Single
10547,No,Rural,Single
10548,No,Semi Urban,Married
10549,Yes,Semi Urban,Single
10550,No,Semi Urban,Married
10551,No,Urban,Married
10552,No,Semi Urban,Married
10553,No,Semi Urban,Married
10554,No,Semi Urban,Single
10555,No,Semi Urban,Single
10556,No,Urban,Single
10557,No,Rural,Single
10558,Yes,Rural,Married
10559,No,Semi Urban,Single
10560,No,Urban,Married
10561,Yes,Rural,Married
10562,No,Urban,Married
10563,Yes,Rural,Married
10564,No,Urban,Married
10565,No,Rural,Married
10566,No,Rural,Married
10567,No,Urban,Married
10568,No,Urban,Married
10569,No,Rural,Married
10570,No,Urban,Married
10571,No,Urban,Single
10572,No,Semi Urban,Married
10573,No,Urban,Single
10574,No,Rural,Married
10575,Yes,Urban,Married
10576,No,Urban,Married
10577,No,Urban,Married
10578,Yes,Urban,Married
10579,No,Urban,Single
10580,No,Rural,Married
10581,No,Urban,Married
10582,No,Rural,Single
10583,No,Urban,Married
10584,No,Urban,Married
10585,No,Urban,Married
10586,No,Urban,Married
10587,Yes,Urban,Married
10588,No,Semi Urban,Married
10589,No,Rural,Married
10590,No,Urban,Married
10591,No,Urban,Married
10592,Yes,Semi Urban,Married
10593,Yes,Rural,Married
10594,No,Rural,Married
10595,No,Rural,Married
10596,Yes,Urban,Married
10597,Yes,Rural,Married
10598,No,Semi Urban,Single
10599,No,Urban,Married
10600,No,Rural,Married
10601,No,Semi Urban,Married
10602,No,Semi Urban,Married
10603,No,Rural,Married
10604,No,Rural,Single
10605,Yes,Rural,Single
10606,No,Rural,Married
10607,No,Urban,Married
10608,No,Rural,Married
10609,No,Semi Urban,Married
10610,No,Rural,Married
10611,No,Rural,Married
10612,No,Urban,Married
10613,No,Rural,Married
10614,No,Semi Urban,Married
10615,No,Urban,Married
10616,No,Urban,Married
10617,No,Urban,Single
10618,No,Urban,Married
10619,No,Rural,Married
10620,No,Urban,Married
10621,No,Urban,Single
10622,No,Urban,Married
10623,Yes,Rural,Married
10624,No,Rural,Single
10625,No,Urban,Single
10626,No,Rural,Married
10627,No,Semi Urban,Married
10628,No,Urban,Married
10629,No,Rural,Married
10630,No,Urban,Married
10631,No,Urban,Married
10632,Yes,Semi Urban,Married
10633,No,Semi Urban,Married
10634,No,Urban,Married
10635,No,Urban,Single
10636,No,Semi Urban,Married
10637,Yes,Urban,Married
10638,No,Rural,Single
10639,No,Rural,Single
10640,No,Urban,Married
10641,No,Semi Urban,Married
10642,No,Urban,Married
10643,No,Urban,Married
10644,No,Urban,Single
10645,No,Rural,Married
10646,Yes,Rural,Married
10647,No,Urban,Single
10648,Yes,Rural,Married
10649,No,Rural,Married
10650,No,Semi Urban,Married
10651,No,Urban,Married
10652,No,Urban,Married
10653,No,Rural,Married
10654,Yes,Urban,Married
10655,No,Semi Urban,Single
10656,No,Rural,Married
10657,Yes,Rural,Married
10658,No,Urban,Married
10659,Yes,Rural,Married
10660,No,Urban,Married
10661,Yes,Urban,Single
10662,No,Rural,Married
10663,Yes,Rural,Married
10664,No,Urban,Married
10665,No,Rural,Married
10666,No,Urban,Married
10667,No,Semi Urban,Married
10668,No,Urban,Single
10669,No,Urban,Married
10670,Yes,Rural,Single
10671,No,Urban,Married
10672,No,Urban,Married
10673,No,Rural,Married
10674,No,Rural,Married
10675,No,Urban,Single
10676,No,Urban,Single
10677,Yes,Rural,Single
10678,No,Urban,Married
10679,No,Rural,Married
10680,No,Rural,Married
10681,No,Semi Urban,Married
10682,No,Rural,Single
10683,Yes,Rural,Married
10684,No,Rural,Married
10685,No,Urban,Married
10686,No,Urban,Married
10687,Yes,Rural,Single
10688,No,Rural,Single
10689,No,Semi Urban,Married
10690,Yes,Semi Urban,Married
10691,No,Urban,Married
10692,No,Urban,Single
10693,No,Urban,Married
10694,No,Urban,Married
10695,No,Semi Urban,Married
10696,No,Urban,Married
10697,No,Urban,Single
10698,Yes,Urban,Married
10699,No,Urban,Single
10700,No,Urban,Married
10701,No,Semi Urban,Single
10702,No,Semi Urban,Single
10703,No,Urban,Married
10704,No,Urban,Single
10705,Yes,Semi Urban,Single
10706,No,Urban,Married
10707,No,Semi Urban,Married
10708,No,Urban,Married
10709,No,Urban,Married
10710,No,Urban,Married
10711,No,Rural,Single
10712,Yes,Rural,Married
10713,No,Semi Urban,Married
10714,Yes,Urban,Single
10715,No,Rural,Married
10716,No,Semi Urban,Single
10717,No,Urban,Married
10718,No,Semi Urban,Single
10719,No,Urban,Married
10720,No,Rural,Married
10721,Yes,Rural,Married
10722,No,Semi Urban,Single
10723,No,Semi Urban,Single
10724,No,Urban,Married
10725,Yes,Urban,Single
10726,Yes,Rural,Married
10727,No,Rural,Single
10728,No,Rural,Married
10729,No,Urban,Married
10730,No,Rural,Married
10731,No,Rural,Married
10732,No,Semi Urban,Single
10733,No,Urban,Married
10734,No,Urban,Single
10735,Yes,Rural,Married
10736,Yes,Urban,Married
10737,No,Urban,Married
10738,No,Rural,Married
10739,Yes,Rural,Married
10740,Yes,Semi Urban,Single
10741,No,Urban,Married
10742,Yes,Semi Urban,Single
10743,No,Urban,Married
10744,No,Urban,Married
10745,No,Urban,Single
10746,No,Urban,Married
10747,No,Rural,Married
10748,No,Rural,Married
10749,No,Rural,Married
10750,No,Semi Urban,Married
10751,No,Urban,Married
10752,No,Semi Urban,Married
10753,No,Urban,Single
10754,No,Urban,Married
10755,Yes,Urban,Single
10756,No,Rural,Married
10757,Yes,Rural,Single
10758,No,Rural,Married
10759,No,Rural,Married
10760,Yes,Urban,Married
10761,No,Rural,Married
10762,Yes,Rural,Married
10763,No,Rural,Single
10764,No,Urban,Married
10765,No,Semi Urban,Married
10766,No,Urban,Single
10767,No,Urban,Married
10768,No,Urban,Married
10769,Yes,Semi Urban,Married
10770,No,Rural,Married
10771,No,Urban,Married
10772,Yes,Rural,Single
10773,No,Rural,Single
10774,No,Urban,Married
10775,No,Urban,Married
10776,No,Semi Urban,Married
10777,No,Semi Urban,Married
10778,Yes,Rural,Married
10779,Yes,Urban,Married
10780,No,Rural,Married
10781,No,Urban,Single
10782,No,Semi Urban,Married
10783,Yes,Semi Urban,Married
10784,No,Semi Urban,Married
10785,No,Rural,Married
10786,No,Rural,Married
10787,No,Rural,Married
10788,Yes,Rural,Married
10789,No,Rural,Married
10790,No,Semi Urban,Single
10791,No,Rural,Married
10792,No,Urban,Married
10793,No,Urban,Single
10794,No,Semi Urban,Married
10795,No,Semi Urban,Married
10796,Yes,Rural,Married
10797,No,Urban,Single
10798,Yes,Urban,Married
10799,Yes,Rural,Married
10800,Yes,Urban,Married
10801,No,Urban,Married
10802,No,Rural,Married
10803,No,Urban,Married
10804,No,Semi Urban,Married
10805,No,Urban,Married
10806,Yes,Urban,Single
10807,No,Rural,Married
10808,Yes,Semi Urban,Married
10809,No,Urban,Married
10810,No,Urban,Married
10811,No,Urban,Married
10812,No,Semi Urban,Married
10813,No,Urban,Married
10814,No,Urban,Married
10815,No,Rural,Single
10816,No,Urban,Married
10817,No,Urban,Married
10818,No,Semi Urban,Married
10819,No,Urban,Single
10820,No,Rural,Married
10821,Yes,Urban,Single
10822,Yes,Urban,Single
10823,Yes,Rural,Single
10824,No,Urban,Married
10825,Yes,Rural,Married
10826,No,Urban,Married
10827,No,Semi Urban,Married
10828,No,Urban,Married
10829,No,Semi Urban,Married
10830,No,Urban,Married
10831,No,Urban,Married
10832,No,Rural,Married
10833,No,Rural,Married
10834,No,Semi Urban,Married
10835,No,Urban,Single
10836,No,Urban,Married
10837,No,Urban,Married
10838,Yes,Semi Urban,Married
10839,No,Semi Urban,Single
10840,No,Rural,Single
10841,No,Urban,Married
10842,No,Semi Urban,Married
10843,No,Rural,Married
10844,No,Semi Urban,Married
10845,No,Rural,Married
10846,No,Rural,Married
10847,No,Semi Urban,Married
10848,No,Urban,Single
10849,No,Rural,Married
10850,No,Rural,Single
10851,No,Rural,Married
10852,Yes,Urban,Married
10853,Yes,Urban,Single
10854,No,Rural,Married
10855,No,Urban,Married
10856,No,Urban,Married
10857,No,Rural,Married
10858,No,Semi Urban,Single
10859,No,Rural,Married
10860,No,Rural,Married
10861,No,Rural,Single
10862,No,Rural,Married
10863,No,Urban,Single
10864,No,Urban,Single
10865,No,Urban,Single
10866,Yes,Urban,Married
10867,No,Urban,Married
10868,No,Rural,Single
10869,Yes,Rural,Married
10870,No,Urban,Married
10871,No,Urban,Married
10872,Yes,Urban,Married
10873,No,Urban,Married
10874,No,Urban,Single
10875,No,Semi Urban,Married
10876,Yes,Urban,Married
10877,No,Urban,Married
10878,No,Rural,Married
10879,No,Rural,Married
10880,No,Semi Urban,Married
10881,No,Rural,Married
10882,No,Rural,Married
10883,No,Rural,Single
10884,Yes,Urban,Married
10885,Yes,Rural,Single
10886,Yes,Urban,Married
10887,No,Urban,Single
10888,No,Rural,Married
10889,Yes,Semi Urban,Married
10890,Yes,Rural,Married
10891,No,Urban,Married
10892,No,Urban,Single
10893,No,Semi Urban,Single
10894,No,Rural,Single
10895,No,Semi Urban,Married
10896,No,Semi Urban,Married
10897,No,Semi Urban,Married
10898,No,Rural,Single
10899,No,Rural,Married
10900,No,Semi Urban,Married
10901,No,Semi Urban,Married
10902,Yes,Urban,Married
10903,Yes,Urban,Married
10904,No,Urban,Married
10905,No,Rural,Married
10906,No,Urban,Single
10907,No,Rural,Married
10908,No,Rural,Married
10909,No,Rural,Single
10910,No,Rural,Single
10911,Yes,Urban,Married
10912,Yes,Rural,Married
10913,No,Rural,Married
10914,No,Rural,Married
10915,Yes,Urban,Married
10916,No,Rural,Single
10917,No,Rural,Married
10918,No,Rural,Married
10919,No,Rural,Married
10920,No,Rural,Married
10921,Yes,Urban,Married
10922,No,Rural,Married
10923,Yes,Rural,Married
10924,No,Urban,Married
10925,No,Semi Urban,Single
10926,No,Urban,Married
10927,No,Semi Urban,Married
10928,No,Semi Urban,Married
10929,Yes,Rural,Married
10930,No,Rural,Married
10931,No,Rural,Married
10932,No,Rural,Married
10933,No,Rural,Married
10934,No,Urban,Single
10935,No,Semi Urban,Married
10936,No,Urban,Single
10937,Yes,Urban,Married
10938,Yes,Semi Urban,Married
10939,No,Semi Urban,Single
10940,No,Rural,Single
10941,No,Rural,Single
10942,No,Rural,Married
10943,No,Rural,Married
10944,No,Urban,Married
10945,No,Urban,Married
10946,No,Semi Urban,Married
10947,No,Urban,Married
10948,No,Rural,Single
10949,No,Rural,Married
10950,No,Rural,Married
10951,No,Rural,Married
10952,No,Urban,Married
10953,No,Rural,Married
10954,No,Urban,Single
10955,Yes,Urban,Married
10956,Yes,Rural,Single
10957,No,Rural,Married
10958,No,Urban,Married
10959,No,Urban,Married
10960,No,Rural,Married
10961,No,Rural,Single
10962,No,Urban,Married
10963,No,Rural,Single
10964,No,Rural,Married
10965,Yes,Urban,Married
10966,No,Rural,Married
10967,Yes,Rural,Married
10968,No,Urban,Married
10969,No,Rural,Married
10970,No,Rural,Married
10971,No,Semi Urban,Married
10972,Yes,Urban,Married
10973,No,Rural,Married
10974,No,Rural,Single
10975,No,Rural,Married
10976,No,Semi Urban,Single
10977,No,Rural,Married
10978,No,Urban,Married
10979,No,Urban,Single
10980,No,Rural,Married
10981,No,Rural,Single
10982,No,Urban,Married
10983,No,Rural,Married
10984,No,Urban,Married
10985,No,Rural,Single
10986,Yes,Semi Urban,Married
10987,Yes,Urban,Married
10988,No,Rural,Married
10989,No,Urban,Married
10990,No,Rural,Married
10991,No,Urban,Married
10992,Yes,Urban,Married
10993,No,Rural,Single
10994,No,Urban,Married
10995,No,Rural,Married
10996,Yes,Semi Urban,Married
10997,No,Rural,Married
10998,No,Rural,Single
10999,Yes,Semi Urban,Married
11000,No,Rural,Married
11001,No,Rural,Single
11002,No,Rural,Single
11003,No,Urban,Single
11004,No,Urban,Married
11005,No,Semi Urban,Married
11006,No,Semi Urban,Single
11007,No,Urban,Married
11008,No,Rural,Married
11009,No,Urban,Married
11010,No,Rural,Married
11011,No,Urban,Married
11012,No,Rural,Married
11013,No,Rural,Married
11014,No,Urban,Single
11015,No,Rural,Married
11016,No,Rural,Married
11017,No,Semi Urban,Single
11018,No,Rural,Single
11019,No,Rural,Married
11020,No,Urban,Married
11021,No,Urban,Single
11022,No,Semi Urban,Married
11023,No,Semi Urban,Married
11024,No,Rural,Single
11025,No,Rural,Married
11026,No,Rural,Married
11027,No,Rural,Married
11028,Yes,Semi Urban,Married
11029,No,Urban,Married
11030,Yes,Semi Urban,Married
11031,No,Semi Urban,Married
11032,No,Rural,Single
11033,No,Urban,Married
11034,Yes,Urban,Married
11035,No,Urban,Married
11036,Yes,Urban,Single
11037,No,Urban,Single
11038,No,Rural,Married
11039,No,Urban,Married
11040,No,Rural,Married
11041,No,Urban,Single
11042,Yes,Urban,Married
11043,No,Rural,Married
11044,No,Rural,Married
11045,No,Semi Urban,Single
11046,No,Urban,Married
11047,No,Urban,Single
11048,No,Urban,Married
11049,No,Rural,Married
11050,No,Rural,Single
11051,No,Rural,Married
11052,No,Semi Urban,Married
11053,No,Semi Urban,Single
11054,Yes,Semi Urban,Married
11055,No,Urban,Married
11056,No,Semi Urban,Married
11057,No,Urban,Married
11058,No,Semi Urban,Married
11059,No,Rural,Married
11060,No,Rural,Married
11061,No,Rural,Single
11062,No,Semi Urban,Married
11063,No,Urban,Single
11064,No,Rural,Married
11065,No,Rural,Married
11066,No,Rural,Married
11067,No,Urban,Married
11068,Yes,Urban,Single
11069,No,Rural,Single
11070,No,Semi Urban,Married
11071,No,Rural,Married
11072,Yes,Urban,Single
11073,No,Urban,Married
11074,No,Urban,Married
11075,No,Rural,Married
11076,No,Urban,Single
11077,No,Rural,Married
11078,Yes,Urban,Single
11079,No,Semi Urban,Married
11080,No,Urban,Married
11081,No,Semi Urban,Married
11082,No,Rural,Married
11083,No,Urban,Married
11084,No,Semi Urban,Married
11085,Yes,Semi Urban,Married
11086,No,Urban,Single
11087,Yes,Urban,Married
11088,No,Rural,Married
11089,No,Semi Urban,Married
11090,No,Rural,Married
11091,No,Semi Urban,Married
11092,No,Rural,Single
11093,No,Urban,Married
11094,Yes,Urban,Single
11095,No,Rural,Married
11096,No,Urban,Single
11097,Yes,Semi Urban,Single
11098,No,Urban,Married
11099,No,Rural,Married
11100,No,Semi Urban,Married
11101,Yes,Urban,Married
11102,No,Urban,Married
11103,No,Rural,Married
11104,Yes,Rural,Married
11105,Yes,Urban,Married
11106,Yes,Urban,Married
11107,No,Urban,Married
11108,No,Urban,Married
11109,No,Rural,Married
11110,No,Urban,Married
11111,No,Rural,Married
11112,No,Urban,Married
11113,Yes,Rural,Married
11114,No,Urban,Married
11115,No,Urban,Married
11116,No,Urban,Married
11117,Yes,Urban,Married
11118,No,Rural,Single
11119,No,Semi Urban,Single
11120,No,Rural,Married
11121,No,Urban,Single
11122,No,Rural,Married
11123,Yes,Urban,Married
11124,No,Urban,Single
11125,No,Urban,Married
11126,No,Urban,Married
11127,Yes,Rural,Married
11128,No,Urban,Single
11129,No,Urban,Married
11130,No,Urban,Married
11131,No,Semi Urban,Married
11132,Yes,Semi Urban,Married
11133,No,Urban,Married
11134,No,Rural,Married
11135,Yes,Semi Urban,Married
11136,No,Semi Urban,Married
11137,No,Rural,Married
11138,No,Rural,Married
11139,No,Urban,Married
11140,Yes,Urban,Married
11141,No,Urban,Single
11142,Yes,Semi Urban,Single
11143,No,Rural,Single
11144,No,Urban,Single
11145,No,Semi Urban,Married
11146,Yes,Rural,Married
11147,No,Urban,Single
11148,No,Rural,Single
11149,No,Urban,Married
11150,No,Rural,Married
11151,Yes,Urban,Married
11152,Yes,Semi Urban,Married
11153,Yes,Urban,Married
11154,No,Rural,Married
11155,No,Rural,Married
11156,No,Urban,Married
11157,Yes,Urban,Single
11158,Yes,Semi Urban,Married
11159,No,Urban,Married
11160,No,Urban,Married
11161,No,Urban,Single
11162,No,Urban,Married
11163,No,Semi Urban,Married
11164,No,Semi Urban,Married
11165,No,Urban,Married
11166,No,Rural,Married
11167,No,Urban,Married
11168,No,Rural,Married
11169,Yes,Urban,Married
11170,Yes,Urban,Single
11171,No,Semi Urban,Married
11172,No,Rural,Married
11173,No,Rural,Married
11174,No,Rural,Married
11175,Yes,Rural,Married
11176,Yes,Urban,Married
11177,No,Urban,Married
11178,No,Rural,Single
11179,No,Urban,Married
11180,No,Urban,Married
11181,No,Urban,Married
11182,No,Semi Urban,Married
11183,No,Urban,Married
11184,No,Semi Urban,Single
11185,No,Rural,Married
11186,No,Urban,Single
11187,Yes,Rural,Married
11188,Yes,Rural,Single
11189,No,Semi Urban,Married
11190,No,Rural,Single
11191,No,Rural,Married
11192,Yes,Urban,Married
11193,No,Semi Urban,Married
11194,No,Urban,Married
11195,No,Semi Urban,Married
11196,No,Rural,Married
11197,No,Rural,Married
11198,No,Urban,Married
11199,No,Urban,Single
11200,No,Urban,Single
11201,No,Urban,Married
11202,No,Semi Urban,Married
11203,No,Semi Urban,Single
11204,No,Urban,Single
11205,No,Rural,Married
11206,No,Semi Urban,Married
11207,Yes,Rural,Single
11208,No,Urban,Married
11209,No,Urban,Married
11210,No,Urban,Married
11211,No,Rural,Single
11212,No,Semi Urban,Married
11213,Yes,Rural,Married
11214,Yes,Urban,Married
11215,No,Semi Urban,Married
11216,Yes,Rural,Married
11217,No,Rural,Married
11218,Yes,Semi Urban,Married
11219,Yes,Urban,Married
11220,No,Urban,Married
11221,No,Urban,Married
11222,No,Semi Urban,Married
11223,No,Semi Urban,Single
11224,Yes,Rural,Single
11225,No,Urban,Married
11226,No,Semi Urban,Married
11227,No,Rural,Single
11228,No,Rural,Single
11229,No,Rural,Married
11230,Yes,Urban,Single
11231,No,Semi Urban,Married
11232,No,Rural,Married
11233,No,Rural,Married
11234,No,Rural,Married
11235,No,Rural,Married
11236,No,Semi Urban,Married
11237,No,Rural,Single
11238,Yes,Urban,Married
11239,No,Urban,Married
11240,No,Urban,Married
11241,No,Urban,Married
11242,No,Urban,Married
11243,Yes,Urban,Married
11244,No,Urban,Married
11245,No,Urban,Married
11246,No,Rural,Married
11247,No,Semi Urban,Married
11248,No,Rural,Married
11249,No,Semi Urban,Single
11250,No,Semi Urban,Married
11251,Yes,Semi Urban,Married
11252,No,Rural,Married
11253,Yes,Urban,Married
11254,No,Rural,Married
11255,No,Semi Urban,Single
11256,No,Rural,Married
11257,No,Rural,Married
11258,No,Rural,Married
11259,No,Rural,Single
11260,No,Semi Urban,Married
11261,No,Rural,Single
11262,No,Semi Urban,Married
11263,No,Rural,Married
11264,No,Urban,Married
11265,No,Urban,Married
11266,No,Rural,Single
11267,No,Rural,Single
11268,No,Rural,Married
11269,No,Urban,Married
11270,No,Urban,Married
11271,Yes,Semi Urban,Married
