ApplicationNumber,OpenCredit,MonthlyCreditPayment,CreditHistory,MinBalance,ChequeBounce,DebitToDemat
10243,48400.0,1076.0,39.0,0.0,No,No
10244,94900.0,3954.0,79.0,1.0,No,No
10245,275800.0,19700.0,59.0,1.0,Yes,No
10246,475200.00000000006,10330.0,3.0,1.0,No,No
10247,130800.0,6884.0,20.0,1.0,No,No
10248,0.0,0.0,70.0,2.0,No,No
10249,141600.0,2890.0,3.0,0.0,No,No
10250,82000.0,3565.0,17.0,0.0,No,No
10251,439200.00000000006,10457.0,67.0,0.0,No,Yes
10252,50400.0,2653.0,26.0,0.0,No,No
10253,119600.0,9200.0,14.0,2.0,No,No
10254,112200.0,2338.0,15.0,0.0,Yes,No
10255,185000.0,4205.0,25.0,0.0,No,No
10256,300300.0,37538.0,26.0,0.0,No,No
10257,211200.00000000003,5867.0,74.0,1.0,No,No
10258,488400.00000000006,20350.0,23.0,1.0,No,Yes
10259,63600.00000000001,2544.0,73.0,2.0,No,No
10260,39600.0,4950.0,27.0,0.0,No,Yes
10261,162500.0,10833.0,2.0,0.0,No,No
10262,119600.0,2345.0,26.0,1.0,No,Yes
10263,81200.0,2030.0,73.0,0.0,No,No
10264,106400.0,2264.0,67.0,0.0,No,No
10265,49100.0,1023.0,92.0,1.0,Yes,Yes
10266,121200.0,3673.0,17.0,0.0,No,Yes
10267,67500.0,2411.0,76.0,2.0,No,No
10268,818000.0,16039.0,71.0,0.0,Yes,No
10269,136500.0,2844.0,2.0,2.0,Yes,No
10270,92000.0,1769.0,41.0,1.0,Yes,Yes
10271,242000.0,8067.0,22.0,4.0,Yes,No
10272,37200.0,1063.0,46.0,0.0,No,Yes
10273,208500.0,4633.0,15.0,0.0,No,No
10274,74600.0,2331.0,37.0,1.0,No,No
10275,155200.0,31040.0,14.0,1.0,No,No
10276,118500.0,19750.0,9.0,0.0,No,No
10277,191200.0,3541.0,35.0,0.0,No,No
10278,235000.0,6912.0,67.0,1.0,Yes,Yes
10279,17100.000000000004,1315.0,81.0,1.0,No,No
10280,250400.0,5823.0,0.0,3.0,Yes,No
10281,10600.0,624.0,41.0,1.0,No,No
10282,37500.0,833.0,12.0,3.0,No,No
10283,81000.00000000001,3857.0,55.0,0.0,No,No
10284,110400.0,2984.0,68.0,1.0,No,No
10285,479700.0,12965.0,89.0,0.0,No,No
10286,153000.0,2638.0,7.0,2.0,No,No
10287,0.0,0.0,26.0,1.0,No,Yes
10288,17500.0,2188.0,48.0,1.0,No,No
10289,390000.00000000006,11818.0,5.0,4.0,Yes,Yes
10290,182500.0,7019.0,44.0,0.0,No,No
10291,693700.0000000001,173425.0,20.0,1.0,No,Yes
10292,467000.0,9729.0,29.0,1.0,No,No
10293,90600.0,1618.0,63.0,1.0,No,No
10294,48300.0,3220.0,90.0,0.0,No,Yes
10295,231500.0,6257.0,21.0,0.0,No,No
10296,19200.000000000004,533.0,7.0,1.0,Yes,No
10297,30500.0,1220.0,62.0,2.0,Yes,No
10298,0.0,0.0,82.0,0.0,No,Yes
10299,115600.0,3124.0,12.0,1.0,Yes,Yes
10300,480700.00000000006,21850.0,77.0,1.0,No,No
10301,282100.0,18807.0,6.0,1.0,Yes,No
10302,140700.00000000006,3127.0,84.0,0.0,No,No
10303,82500.00000000001,1719.0,13.0,0.0,Yes,No
10304,55000.0,6875.0,51.0,1.0,No,No
10305,36500.0,936.0,1.0,0.0,No,Yes
10306,123600.0,3987.0,22.0,3.0,No,No
10307,257600.00000000003,32200.0,38.0,2.0,No,No
10308,219600.00000000003,4991.0,13.0,2.0,No,No
10309,0.0,0.0,11.0,2.0,No,No
10310,178500.00000000003,7438.0,18.0,0.0,No,No
10311,29200.0,749.0,55.0,3.0,No,No
10312,0.0,0.0,34.0,0.0,No,No
10313,149200.0,21314.0,83.0,0.0,No,Yes
10314,21400.0,1646.0,89.0,2.0,No,Yes
10315,93000.0,2818.0,5.0,1.0,No,Yes
10316,82500.0,1833.0,7.0,0.0,No,No
10317,475800.00000000006,22657.0,78.0,3.0,No,No
10318,176800.0,3400.0,21.0,1.0,No,No
10319,181300.00000000003,3555.0,12.0,0.0,Yes,No
10320,50500.0,1443.0,49.0,3.0,No,No
10321,216600.00000000003,12741.0,0.0,2.0,Yes,No
10322,428400.00000000006,10985.0,91.0,1.0,No,No
10323,225000.0,5625.0,28.0,0.0,No,No
10324,204000.0,20400.0,49.0,2.0,No,No
10325,48000.00000000001,3429.0,12.0,2.0,Yes,Yes
10326,168400.0,3007.0,74.0,1.0,No,No
10327,70000.0,5000.0,16.0,0.0,No,No
10328,26400.0,508.0,66.0,3.0,No,Yes
10329,96000.0,9600.0,92.0,0.0,No,No
10330,181200.00000000003,3698.0,60.0,2.0,No,Yes
10331,122800.0,2729.0,77.0,1.0,No,No
10332,142400.0,10954.0,53.0,0.0,No,No
10333,189600.0,11850.0,21.0,1.0,No,Yes
10334,133900.0,8369.0,4.0,1.0,No,No
10335,13500.000000000002,276.0,61.0,1.0,No,No
10336,60000.0,1579.0,33.0,0.0,No,No
10337,465000.0,8455.0,66.0,3.0,No,Yes
10338,0.0,0.0,54.0,1.0,No,No
10339,92500.0,15417.0,69.0,0.0,No,Yes
10340,31600.0,620.0,79.0,0.0,No,No
10341,431200.00000000006,13475.0,93.0,0.0,No,No
10342,168500.0,12036.0,37.0,0.0,No,Yes
10343,68800.0,2372.0,66.0,2.0,No,Yes
10344,9600.0,565.0,42.0,0.0,No,Yes
10345,43200.0,1440.0,29.0,3.0,Yes,No
10346,194500.0,8841.0,35.0,2.0,No,Yes
10347,0.0,0.0,10.0,1.0,No,No
10348,42500.0,10625.0,20.0,1.0,No,Yes
10349,60500.0,1043.0,84.0,1.0,No,No
10350,101400.0,2897.0,13.0,1.0,No,No
10351,272800.0,7373.0,61.0,1.0,No,No
10352,131300.0,8753.0,16.0,1.0,No,No
10353,93800.0,6253.0,19.0,1.0,No,No
10354,151200.00000000006,12600.0,94.0,2.0,No,Yes
10355,25800.0,1843.0,43.0,1.0,No,No
10356,113500.0,2522.0,54.0,0.0,Yes,Yes
10357,305800.0,8494.0,52.0,3.0,Yes,No
10358,230400.00000000003,28800.0,60.0,1.0,No,Yes
10359,593600.0,26982.0,6.0,2.0,No,No
10360,132600.0,6027.0,6.0,0.0,No,No
10361,243100.00000000003,11050.0,64.0,0.0,No,No
10362,260800.0,5670.0,87.0,1.0,Yes,No
10363,296000.0,6435.0,80.0,1.0,No,Yes
10364,83200.0,4894.0,2.0,1.0,No,No
10365,57000.0,3562.0,35.0,2.0,No,Yes
10366,68400.00000000001,4886.0,77.0,1.0,No,Yes
10367,13300.0,782.0,11.0,1.0,No,No
10368,144800.0,11138.0,94.0,0.0,No,No
10369,40000.0,800.0,4.0,0.0,No,No
10370,426000.00000000006,8520.0,79.0,1.0,No,No
10371,40500.0,750.0,84.0,1.0,No,No
10372,265200.0000000001,29467.0,0.0,0.0,No,No
10373,96400.0,2605.0,56.0,0.0,No,No
10374,466700.0,42427.0,85.0,0.0,No,Yes
10375,631400.0000000001,13154.0,9.0,1.0,No,Yes
10376,132300.0,6014.0,16.0,2.0,No,No
10377,78800.0,2814.0,35.0,1.0,No,Yes
10378,451500.0,112875.0,26.0,0.0,Yes,No
10379,29400.000000000004,1729.0,68.0,0.0,Yes,No
10380,272400.0,4617.0,57.0,2.0,Yes,Yes
10381,43600.0,765.0,42.0,1.0,No,No
10382,75800.0,5053.0,3.0,1.0,No,No
10383,174400.0,3354.0,75.0,1.0,No,Yes
10384,399500.0,33292.0,46.0,0.0,No,Yes
10385,14100.0,381.0,48.0,3.0,No,No
10386,241800.00000000003,10075.0,14.0,1.0,No,Yes
10387,39000.0,867.0,4.0,1.0,No,Yes
10388,154400.0,8126.0,35.0,1.0,No,No
10389,0.0,0.0,31.0,1.0,No,No
10390,152600.0,4624.0,8.0,0.0,No,Yes
10391,258500.00000000003,28722.0,27.0,1.0,Yes,No
10392,64800.0,1098.0,61.0,0.0,No,No
10393,226500.0,4719.0,57.0,1.0,No,No
10394,34800.0,1123.0,27.0,0.0,No,No
10395,150000.00000000006,3125.0,11.0,0.0,No,No
10396,115800.0,2227.0,32.0,0.0,No,Yes
10397,13200.000000000002,264.0,17.0,1.0,Yes,Yes
10398,45500.0,929.0,28.0,0.0,No,No
10399,247800.00000000003,12390.0,5.0,1.0,No,No
10400,95800.0,11975.0,31.0,0.0,No,No
10401,55200.00000000001,2044.0,45.0,1.0,No,Yes
10402,73500.00000000001,1267.0,67.0,0.0,Yes,No
10403,433200.00000000006,24067.0,72.0,0.0,Yes,No
10404,91700.0,3527.0,3.0,1.0,No,No
10405,302400.0,5214.0,13.0,3.0,No,No
10406,173600.0,7548.0,53.0,0.0,No,No
10407,69600.00000000001,4350.0,22.0,3.0,No,No
10408,36500.0,912.0,62.0,1.0,Yes,Yes
10409,99000.0,8250.0,76.0,3.0,Yes,No
10410,211500.0,7050.0,94.0,1.0,No,No
10411,149000.0,5960.0,5.0,1.0,No,No
10412,96000.0,2043.0,80.0,1.0,No,No
10413,78000.0,2229.0,0.0,1.0,No,No
10414,54000.0,964.0,41.0,1.0,No,Yes
10415,0.0,0.0,31.0,0.0,No,Yes
10416,141600.00000000006,3540.0,26.0,0.0,No,Yes
10417,144500.0,3705.0,94.0,1.0,No,No
10418,123000.0,2196.0,16.0,0.0,No,No
10419,136800.0,12436.0,17.0,3.0,Yes,No
10420,216000.00000000003,4000.0,16.0,0.0,No,No
10421,60000.00000000001,2143.0,54.0,0.0,No,No
10422,288600.0000000001,9952.0,15.0,0.0,No,No
10423,68000.0,2000.0,38.0,4.0,No,No
10424,337400.0000000001,7498.0,92.0,2.0,Yes,No
10425,118200.0,2627.0,11.0,3.0,No,No
10426,153200.0,5107.0,14.0,2.0,No,Yes
10427,104300.0,4741.0,88.0,0.0,Yes,No
10428,259200.00000000003,23564.0,42.0,0.0,No,No
10429,123000.0,4556.0,32.0,1.0,No,No
10430,231300.0,4448.0,50.0,2.0,No,No
10431,141500.0,12864.0,59.0,1.0,No,No
10432,114000.0,3677.0,43.0,3.0,No,No
10433,264600.0000000001,6300.0,30.0,1.0,No,Yes
10434,163200.00000000006,8589.0,83.0,0.0,No,No
10435,24200.0,733.0,54.0,0.0,No,No
10436,61400.0,1919.0,94.0,0.0,Yes,No
10437,148400.0,9893.0,48.0,0.0,No,Yes
10438,18800.0,940.0,49.0,2.0,No,Yes
10439,144000.00000000006,6545.0,73.0,1.0,No,No
10440,93500.0,10389.0,89.0,1.0,No,No
10441,70400.0,2011.0,19.0,2.0,Yes,Yes
10442,1349600.0000000002,26463.0,93.0,2.0,No,No
10443,198000.0,3356.0,21.0,1.0,No,No
10444,476500.0,16431.0,95.0,0.0,No,No
10445,53600.0,1276.0,12.0,2.0,No,No
10446,83400.0,3336.0,2.0,3.0,No,No
10447,56000.0,2074.0,19.0,1.0,No,Yes
10448,92800.0,1719.0,17.0,1.0,No,No
10449,109600.0,1858.0,94.0,0.0,No,No
10450,41000.0,1367.0,24.0,0.0,No,No
10451,266400.0000000001,9514.0,8.0,1.0,No,Yes
10452,204000.0,17000.0,57.0,2.0,No,No
10453,193000.0,5848.0,20.0,1.0,No,No
10454,65800.0,1605.0,89.0,1.0,No,No
10455,227500.00000000003,4550.0,28.0,0.0,No,Yes
10456,165000.00000000006,41250.0,80.0,0.0,No,No
10457,309000.0,16263.0,9.0,1.0,No,No
10458,124400.0,2827.0,10.0,1.0,No,No
10459,328000.0,12148.0,44.0,1.0,No,No
10460,60000.0,3333.0,29.0,0.0,No,No
10461,20800.0,693.0,78.0,2.0,Yes,No
10462,312000.0,5887.0,73.0,0.0,No,No
10463,148500.0,3453.0,26.0,1.0,Yes,No
10464,65200.0,1863.0,65.0,2.0,No,No
10465,68000.0,1619.0,11.0,0.0,No,Yes
10466,113700.0,2773.0,8.0,0.0,No,No
10467,183200.0,4071.0,81.0,3.0,Yes,No
10468,231500.0,11024.0,26.0,0.0,No,No
10469,0.0,0.0,95.0,1.0,No,No
10470,191600.0,4673.0,67.0,1.0,No,No
10471,92000.0,5111.0,94.0,0.0,No,No
10472,180600.00000000003,4631.0,50.0,1.0,No,No
10473,296000.0,5692.0,13.0,0.0,No,Yes
10474,121600.0,2702.0,66.0,0.0,No,No
10475,137200.0,2589.0,89.0,1.0,No,No
10476,207000.0,5049.0,53.0,0.0,Yes,Yes
10477,263900.0,6437.0,35.0,0.0,No,No
10478,223200.00000000003,6565.0,48.0,2.0,No,No
10479,247200.00000000003,6867.0,62.0,0.0,No,Yes
10480,372000.00000000006,46500.0,27.0,0.0,No,No
10481,223000.0,6969.0,82.0,3.0,No,No
10482,264800.0,12610.0,13.0,2.0,No,No
10483,37000.0,822.0,50.0,0.0,Yes,No
10484,67200.00000000001,11200.0,15.0,3.0,Yes,No
10485,323400.0000000001,8741.0,67.0,2.0,No,No
10486,0.0,0.0,24.0,3.0,Yes,No
10487,30300.000000000004,532.0,89.0,0.0,No,Yes
10488,344400.0000000001,20259.0,95.0,0.0,No,No
10489,42000.0,1167.0,11.0,1.0,No,No
10490,38200.0,2938.0,10.0,1.0,No,No
10491,153000.0,4781.0,50.0,0.0,No,No
10492,180900.0,8223.0,66.0,1.0,No,Yes
10493,35000.0,2188.0,48.0,1.0,No,Yes
10494,94000.0,1808.0,1.0,2.0,No,No
10495,388800.0,77760.0,87.0,0.0,No,No
10496,352800.00000000006,7350.0,14.0,0.0,No,No
10497,137500.0,2412.0,10.0,3.0,Yes,No
10498,282000.0000000001,31333.0,10.0,2.0,No,No
10499,76000.0,10857.0,29.0,1.0,No,No
10500,62500.0,4167.0,11.0,1.0,No,No
10501,59400.00000000001,4569.0,9.0,0.0,No,No
10502,124800.0,2115.0,50.0,1.0,No,No
10503,117600.0,2940.0,94.0,0.0,No,No
10504,25500.0,911.0,5.0,2.0,Yes,No
10505,1099200.0000000002,43968.0,59.0,0.0,No,Yes
10506,13000.0,260.0,74.0,0.0,No,No
10507,120600.0,5482.0,38.0,0.0,No,Yes
10508,407000.00000000006,8848.0,54.0,0.0,No,No
10509,59800.0,1173.0,30.0,1.0,No,No
10510,212100.00000000003,16315.0,29.0,1.0,Yes,Yes
10511,29000.0,1611.0,83.0,0.0,No,Yes
10512,67600.0,1252.0,13.0,0.0,No,Yes
10513,40500.0,1446.0,73.0,0.0,No,No
10514,1059600.0000000002,29433.0,26.0,3.0,Yes,Yes
10515,39000.0,684.0,70.0,1.0,No,Yes
10516,184800.00000000003,3300.0,15.0,2.0,Yes,Yes
10517,43200.0,1394.0,82.0,1.0,No,No
10518,73600.0,2300.0,42.0,1.0,No,No
10519,251000.0,35857.0,32.0,0.0,No,No
10520,174300.00000000006,4053.0,1.0,1.0,No,No
10521,319500.0,7793.0,46.0,0.0,Yes,Yes
10522,392400.0,9126.0,16.0,0.0,No,No
10523,70000.0,1750.0,51.0,1.0,No,Yes
10524,42500.0,1371.0,91.0,2.0,No,Yes
10525,310000.0,22143.0,93.0,0.0,No,No
10526,93600.0,3744.0,21.0,0.0,No,No
10527,62300.00000000001,1271.0,71.0,1.0,No,Yes
10528,144000.0,4800.0,65.0,1.0,No,No
10529,157200.0,17467.0,55.0,3.0,No,Yes
10530,259800.00000000003,5413.0,81.0,0.0,Yes,Yes
10531,30800.0,811.0,45.0,0.0,Yes,Yes
10532,244800.0,6277.0,25.0,0.0,No,No
10533,404000.0,12242.0,52.0,0.0,No,No
10534,33600.0,5600.0,40.0,2.0,No,No
10535,255600.00000000003,7518.0,95.0,1.0,No,Yes
10536,84500.0,5633.0,62.0,2.0,No,No
10537,284200.0,8359.0,74.0,1.0,No,No
10538,60000.0,1176.0,0.0,1.0,No,Yes
10539,46000.0,4182.0,62.0,1.0,No,No
10540,23000.0,1533.0,11.0,2.0,Yes,No
10541,123900.0,3872.0,12.0,0.0,No,No
10542,41000.0,3727.0,40.0,1.0,No,Yes
10543,242900.00000000003,4261.0,6.0,0.0,No,Yes
10544,0.0,0.0,55.0,1.0,No,No
10545,34400.0,6880.0,5.0,3.0,No,No
10546,329700.0000000001,5995.0,37.0,1.0,No,Yes
10547,33100.0,1742.0,6.0,1.0,No,No
10548,0.0,0.0,21.0,0.0,No,No
10549,0.0,0.0,29.0,3.0,No,No
10550,189600.00000000003,3326.0,5.0,0.0,No,No
10551,194800.0,5411.0,29.0,1.0,No,No
10552,66400.0,1581.0,38.0,0.0,No,No
10553,68000.0,1838.0,41.0,0.0,No,No
10554,148800.00000000006,8267.0,86.0,1.0,No,Yes
10555,348000.0,7250.0,88.0,1.0,No,No
10556,40200.000000000015,773.0,87.0,0.0,No,No
10557,36000.0,973.0,6.0,3.0,No,No
10558,181600.0,6486.0,1.0,1.0,No,No
10559,159000.0,4818.0,21.0,4.0,No,Yes
10560,706500.0,18115.0,39.0,3.0,No,No
10561,77700.00000000001,1466.0,21.0,1.0,Yes,Yes
10562,21500.0,371.0,17.0,1.0,No,No
10563,84800.0,6057.0,57.0,2.0,No,No
10564,28400.0,526.0,91.0,1.0,No,Yes
10565,93800.0,1876.0,26.0,3.0,Yes,Yes
10566,434500.0,12779.0,8.0,1.0,Yes,No
10567,132300.0,4009.0,72.0,1.0,No,Yes
10568,193200.0,3943.0,59.0,1.0,No,No
10569,229200.00000000003,32743.0,1.0,0.0,No,No
10570,0.0,0.0,13.0,2.0,Yes,No
10571,41600.0,4160.0,1.0,1.0,No,No
10572,224100.0,5212.0,26.0,0.0,Yes,Yes
10573,0.0,0.0,21.0,0.0,No,Yes
10574,185400.0,3708.0,91.0,2.0,No,No
10575,82000.0,4316.0,2.0,1.0,No,No
10576,356000.0,7417.0,93.0,1.0,No,Yes
10577,254800.00000000003,42467.0,62.0,1.0,No,No
10578,191400.00000000003,5037.0,35.0,2.0,No,No
10579,564000.0000000001,17625.0,20.0,0.0,No,No
10580,423900.0,30279.0,80.0,4.0,No,No
10581,171000.0,5700.0,64.0,0.0,No,No
10582,13600.0,800.0,23.0,2.0,No,No
10583,56600.0,3538.0,41.0,0.0,No,Yes
10584,0.0,0.0,79.0,0.0,Yes,No
10585,196400.0,3851.0,6.0,1.0,No,No
10586,55200.00000000001,1380.0,16.0,0.0,No,No
10587,196000.0,39200.0,71.0,3.0,No,No
10588,261600.0,5031.0,7.0,0.0,No,No
10589,352000.0,12138.0,33.0,1.0,No,No
10590,195600.0,8504.0,51.0,0.0,No,Yes
10591,24600.0,1640.0,64.0,0.0,No,No
10592,104400.0,6960.0,44.0,0.0,No,No
10593,63800.0,15950.0,54.0,0.0,No,No
10594,283800.0000000001,4893.0,34.0,1.0,No,No
10595,73500.0,3500.0,49.0,1.0,No,Yes
10596,95600.0,5975.0,72.0,1.0,No,Yes
10597,328500.0,9386.0,90.0,0.0,Yes,Yes
10598,194000.0,12125.0,21.0,0.0,No,No
10599,216000.0,5143.0,86.0,1.0,No,Yes
10600,178800.0,7152.0,68.0,3.0,Yes,No
10601,107400.0,4296.0,36.0,1.0,No,No
10602,21400.0,476.0,91.0,2.0,No,No
10603,20500.0,500.0,5.0,2.0,Yes,No
10604,0.0,0.0,13.0,1.0,No,Yes
10605,111000.0,3581.0,20.0,1.0,Yes,No
10606,50800.0,1411.0,14.0,2.0,Yes,No
10607,93500.0,11688.0,46.0,3.0,No,No
10608,68600.0,1559.0,84.0,0.0,No,Yes
10609,142000.0,3381.0,19.0,3.0,Yes,No
10610,554400.0,16306.0,67.0,2.0,Yes,No
10611,63800.00000000001,2774.0,56.0,4.0,Yes,No
10612,52400.0,4031.0,13.0,2.0,No,No
10613,97000.0,2310.0,75.0,0.0,No,No
10614,74400.00000000001,2976.0,79.0,1.0,No,No
10615,339500.0,28292.0,6.0,1.0,No,Yes
10616,659400.0000000001,15335.0,66.0,0.0,No,No
10617,68600.0,2079.0,60.0,0.0,No,No
10618,99000.0,6600.0,91.0,0.0,No,No
10619,72900.0,3038.0,92.0,1.0,No,No
10620,449900.00000000006,74983.0,28.0,1.0,No,No
10621,316800.0000000001,7920.0,9.0,0.0,No,Yes
10622,573000.0000000001,35813.0,53.0,1.0,No,No
10623,69600.00000000001,1657.0,42.0,0.0,No,No
10624,39000.0,1950.0,24.0,2.0,Yes,No
10625,42800.0,2518.0,12.0,3.0,No,No
10626,576000.0000000001,26182.0,13.0,3.0,No,No
10627,140000.0,7368.0,77.0,0.0,No,No
10628,333200.0000000001,15867.0,63.0,0.0,No,No
10629,19200.0,519.0,34.0,0.0,Yes,No
10630,225000.0,56250.0,93.0,2.0,Yes,No
10631,83100.0,11871.0,94.0,0.0,No,No
10632,65800.0,4700.0,64.0,1.0,No,No
10633,0.0,0.0,85.0,0.0,No,No
10634,102000.0,1925.0,74.0,2.0,Yes,No
10635,0.0,0.0,12.0,0.0,No,No
10636,32100.000000000004,606.0,61.0,4.0,Yes,Yes
10637,76200.00000000001,10886.0,6.0,1.0,No,No
10638,35900.0,1056.0,15.0,0.0,No,No
10639,46500.0,830.0,79.0,1.0,No,Yes
10640,1093400.0,28774.0,76.0,2.0,No,No
10641,219000.00000000003,21900.0,87.0,0.0,No,No
10642,400500.0,16688.0,37.0,2.0,No,Yes
10643,278600.0,13267.0,13.0,3.0,No,No
10644,98100.0,3773.0,17.0,0.0,No,Yes
10645,28400.0,947.0,18.0,0.0,No,No
10646,124000.0,3351.0,54.0,0.0,No,No
10647,32900.0,2193.0,25.0,3.0,No,No
10648,80800.0,1369.0,41.0,0.0,No,Yes
10649,0.0,0.0,65.0,1.0,No,No
10650,72000.0,14400.0,66.0,1.0,No,No
10651,57400.00000000001,3376.0,42.0,0.0,Yes,Yes
10652,0.0,0.0,47.0,2.0,No,No
10653,33000.000000000015,825.0,49.0,2.0,No,Yes
10654,53600.0,1051.0,58.0,1.0,No,No
10655,38000.0,6333.0,5.0,3.0,No,No
10656,124800.0,15600.0,11.0,0.0,Yes,No
10657,119400.0,29850.0,46.0,0.0,No,Yes
10658,196800.0,19680.0,49.0,3.0,No,No
10659,260400.00000000003,6200.0,69.0,0.0,No,No
10660,28000.0,933.0,72.0,2.0,No,No
10661,133200.00000000006,8325.0,2.0,1.0,No,No
10662,54200.0,2464.0,72.0,0.0,No,No
10663,0.0,0.0,72.0,0.0,No,No
10664,27000.0,771.0,17.0,0.0,No,No
10665,88900.00000000001,22225.0,80.0,2.0,No,No
10666,154400.0,5514.0,15.0,1.0,Yes,No
10667,300000.0,7317.0,19.0,2.0,No,No
10668,346500.0000000001,26654.0,66.0,1.0,No,No
10669,52800.00000000001,8800.0,63.0,3.0,No,No
10670,60000.00000000001,1935.0,39.0,0.0,No,No
10671,144600.00000000006,28920.0,58.0,2.0,No,Yes
10672,904400.0,45220.0,54.0,2.0,Yes,No
10673,54600.00000000001,13650.0,31.0,1.0,No,No
10674,56000.0,1931.0,86.0,1.0,Yes,No
10675,20800.0,671.0,13.0,1.0,No,Yes
10676,374400.0,7641.0,23.0,0.0,No,No
10677,44000.0,1419.0,66.0,0.0,No,No
10678,108800.0,4352.0,54.0,0.0,No,No
10679,226500.0,6292.0,25.0,0.0,No,No
10680,13600.0,243.0,49.0,0.0,No,No
10681,358000.0,10848.0,0.0,3.0,No,No
10682,69200.0,4613.0,0.0,1.0,Yes,No
10683,11400.0,671.0,30.0,0.0,No,No
10684,577500.0,26250.0,17.0,0.0,Yes,No
10685,17200.0,319.0,93.0,0.0,No,No
10686,363300.00000000006,8449.0,36.0,0.0,Yes,No
10687,79500.00000000001,1728.0,29.0,0.0,Yes,No
10688,181200.0,7878.0,79.0,1.0,No,Yes
10689,4600.0,82.0,56.0,1.0,No,No
10690,28000.0,667.0,88.0,3.0,Yes,No
10691,0.0,0.0,8.0,0.0,No,Yes
10692,55600.0,13900.0,5.0,0.0,Yes,Yes
10693,129600.0,4320.0,23.0,2.0,No,Yes
10694,481600.00000000006,16053.0,36.0,3.0,Yes,No
10695,115600.0,1959.0,82.0,0.0,No,No
10696,482900.00000000006,16097.0,90.0,0.0,No,No
10697,29600.0,592.0,28.0,0.0,Yes,No
10698,193500.0,24188.0,13.0,3.0,Yes,No
10699,264000.0,6947.0,53.0,2.0,No,No
10700,80400.0,6700.0,16.0,1.0,No,No
10701,0.0,0.0,87.0,0.0,Yes,No
10702,32000.0,711.0,28.0,1.0,No,Yes
10703,120000.0,17143.0,3.0,0.0,No,No
10704,215100.0,4780.0,72.0,3.0,No,Yes
10705,155200.0,2723.0,21.0,0.0,No,No
10706,216300.00000000003,9013.0,0.0,1.0,No,Yes
10707,322700.0000000001,21513.0,47.0,1.0,No,No
10708,45000.0,1098.0,34.0,0.0,No,No
10709,108000.0,3375.0,12.0,2.0,No,Yes
10710,40000.0,2105.0,59.0,1.0,No,No
10711,64800.00000000001,2945.0,94.0,0.0,No,No
10712,82400.0,1585.0,26.0,0.0,No,Yes
10713,642600.0000000001,37800.0,17.0,0.0,No,No
10714,147200.0,2538.0,3.0,1.0,No,No
10715,39200.0,9800.0,78.0,1.0,No,No
10716,32000.0,800.0,61.0,0.0,No,No
10717,96000.0,2000.0,54.0,1.0,Yes,Yes
10718,348600.0000000001,8107.0,25.0,0.0,No,No
10719,241500.0,24150.0,51.0,0.0,No,No
10720,133000.0,7824.0,43.0,0.0,No,No
10721,165600.0,33120.0,83.0,1.0,No,Yes
10722,90800.0,5675.0,2.0,0.0,No,No
10723,67600.0,1878.0,15.0,1.0,No,No
10724,34000.0,773.0,79.0,3.0,No,No
10725,202500.0,4050.0,4.0,3.0,No,No
