ApplicationNumber,OpenCredit,MonthlyCreditPayment,CreditHistory,MinBalance,ChequeBounce,DebitToDemat
10302,140700.00000000006,3127.0,84.0,0.0,No,No
10303,82500.00000000001,1719.0,13.0,0.0,Yes,No
10305,36500.0,936.0,1.0,0.0,No,Yes
10309,0.0,0.0,11.0,2.0,No,No
10310,178500.00000000003,7438.0,18.0,0.0,No,No
10312,0.0,0.0,34.0,0.0,No,No
10313,149200.0,21314.0,83.0,0.0,No,Yes
10314,21400.0,1646.0,89.0,2.0,No,Yes
10316,82500.0,1833.0,7.0,0.0,No,No
10321,216600.00000000003,12741.0,0.0,2.0,Yes,No
10322,428400.00000000006,10985.0,91.0,1.0,No,No
10323,225000.0,5625.0,28.0,0.0,No,No
10325,48000.00000000001,3429.0,12.0,2.0,Yes,Yes
10326,168400.0,3007.0,74.0,1.0,No,No
10327,70000.0,5000.0,16.0,0.0,No,No
10328,26400.0,508.0,66.0,3.0,No,Yes
10330,181200.00000000003,3698.0,60.0,2.0,No,Yes
10332,142400.0,10954.0,53.0,0.0,No,No
10333,189600.0,11850.0,21.0,1.0,No,Yes
10334,133900.0,8369.0,4.0,1.0,No,No
10335,13500.000000000002,276.0,61.0,1.0,No,No
10336,60000.0,1579.0,33.0,0.0,No,No
10339,92500.0,15417.0,69.0,0.0,No,Yes
10340,31600.0,620.0,79.0,0.0,No,No
10344,9600.0,565.0,42.0,0.0,No,Yes
10351,272800.0,7373.0,61.0,1.0,No,No
10353,93800.0,6253.0,19.0,1.0,No,No
10355,25800.0,1843.0,43.0,1.0,No,No
10356,113500.0,2522.0,54.0,0.0,Yes,Yes
10360,132600.0,6027.0,6.0,0.0,No,No
10368,144800.0,11138.0,94.0,0.0,No,No
10369,40000.0,800.0,4.0,0.0,No,No
10371,40500.0,750.0,84.0,1.0,No,No
10373,96400.0,2605.0,56.0,0.0,No,No
10376,132300.0,6014.0,16.0,2.0,No,No
10377,78800.0,2814.0,35.0,1.0,No,Yes
10379,29400.000000000004,1729.0,68.0,0.0,Yes,No
10382,75800.0,5053.0,3.0,1.0,No,No
10384,399500.0,33292.0,46.0,0.0,No,Yes
10388,154400.0,8126.0,35.0,1.0,No,No
10389,0.0,0.0,31.0,1.0,No,No
10390,152600.0,4624.0,8.0,0.0,No,Yes
10392,64800.0,1098.0,61.0,0.0,No,No
10394,34800.0,1123.0,27.0,0.0,No,No
10395,150000.00000000006,3125.0,11.0,0.0,No,No
10398,45500.0,929.0,28.0,0.0,No,No
10400,95800.0,11975.0,31.0,0.0,No,No
10401,55200.00000000001,2044.0,45.0,1.0,No,Yes
10402,73500.00000000001,1267.0,67.0,0.0,Yes,No
10403,433200.00000000006,24067.0,72.0,0.0,Yes,No
10407,69600.00000000001,4350.0,22.0,3.0,No,No
10411,149000.0,5960.0,5.0,1.0,No,No
10414,54000.0,964.0,41.0,1.0,No,Yes
10415,0.0,0.0,31.0,0.0,No,Yes
10416,141600.00000000006,3540.0,26.0,0.0,No,Yes
10418,123000.0,2196.0,16.0,0.0,No,No
10421,60000.00000000001,2143.0,54.0,0.0,No,No
10423,68000.0,2000.0,38.0,4.0,No,No
10424,337400.0000000001,7498.0,92.0,2.0,Yes,No
10426,153200.0,5107.0,14.0,2.0,No,Yes
10429,123000.0,4556.0,32.0,1.0,No,No
10430,231300.0,4448.0,50.0,2.0,No,No
10431,141500.0,12864.0,59.0,1.0,No,No
10434,163200.00000000006,8589.0,83.0,0.0,No,No
10435,24200.0,733.0,54.0,0.0,No,No
10436,61400.0,1919.0,94.0,0.0,Yes,No
10437,148400.0,9893.0,48.0,0.0,No,Yes
10438,18800.0,940.0,49.0,2.0,No,Yes
10445,53600.0,1276.0,12.0,2.0,No,No
10446,83400.0,3336.0,2.0,3.0,No,No
10449,109600.0,1858.0,94.0,0.0,No,No
10450,41000.0,1367.0,24.0,0.0,No,No
10452,204000.0,17000.0,57.0,2.0,No,No
10453,193000.0,5848.0,20.0,1.0,No,No
10454,65800.0,1605.0,89.0,1.0,No,No
10456,165000.00000000006,41250.0,80.0,0.0,No,No
10458,124400.0,2827.0,10.0,1.0,No,No
10461,20800.0,693.0,78.0,2.0,Yes,No
10462,312000.0,5887.0,73.0,0.0,No,No
10466,113700.0,2773.0,8.0,0.0,No,No
10468,231500.0,11024.0,26.0,0.0,No,No
10469,0.0,0.0,95.0,1.0,No,No
10470,191600.0,4673.0,67.0,1.0,No,No
10471,92000.0,5111.0,94.0,0.0,No,No
10472,180600.00000000003,4631.0,50.0,1.0,No,No
10473,296000.0,5692.0,13.0,0.0,No,Yes
10474,121600.0,2702.0,66.0,0.0,No,No
10483,37000.0,822.0,50.0,0.0,Yes,No
10486,0.0,0.0,24.0,3.0,Yes,No
10487,30300.000000000004,532.0,89.0,0.0,No,Yes
10488,344400.0000000001,20259.0,95.0,0.0,No,No
10489,42000.0,1167.0,11.0,1.0,No,No
10490,38200.0,2938.0,10.0,1.0,No,No
10491,153000.0,4781.0,50.0,0.0,No,No
10496,352800.00000000006,7350.0,14.0,0.0,No,No
10498,282000.0000000001,31333.0,10.0,2.0,No,No
10499,76000.0,10857.0,29.0,1.0,No,No
10501,59400.00000000001,4569.0,9.0,0.0,No,No
10502,124800.0,2115.0,50.0,1.0,No,No
10503,117600.0,2940.0,94.0,0.0,No,No
10506,13000.0,260.0,74.0,0.0,No,No
10507,120600.0,5482.0,38.0,0.0,No,Yes
10511,29000.0,1611.0,83.0,0.0,No,Yes
10512,67600.0,1252.0,13.0,0.0,No,Yes
10517,43200.0,1394.0,82.0,1.0,No,No
10518,73600.0,2300.0,42.0,1.0,No,No
10520,174300.00000000006,4053.0,1.0,1.0,No,No
10523,70000.0,1750.0,51.0,1.0,No,Yes
10526,93600.0,3744.0,21.0,0.0,No,No
10529,157200.0,17467.0,55.0,3.0,No,Yes
10530,259800.00000000003,5413.0,81.0,0.0,Yes,Yes
10531,30800.0,811.0,45.0,0.0,Yes,Yes
10532,244800.0,6277.0,25.0,0.0,No,No
10533,404000.0,12242.0,52.0,0.0,No,No
10534,33600.0,5600.0,40.0,2.0,No,No
10541,123900.0,3872.0,12.0,0.0,No,No
10542,41000.0,3727.0,40.0,1.0,No,Yes
10544,0.0,0.0,55.0,1.0,No,No
10547,33100.0,1742.0,6.0,1.0,No,No
10549,0.0,0.0,29.0,3.0,No,No
10550,189600.00000000003,3326.0,5.0,0.0,No,No
10552,66400.0,1581.0,38.0,0.0,No,No
10553,68000.0,1838.0,41.0,0.0,No,No
10554,148800.00000000006,8267.0,86.0,1.0,No,Yes
10556,40200.000000000015,773.0,87.0,0.0,No,No
10557,36000.0,973.0,6.0,3.0,No,No
10558,181600.0,6486.0,1.0,1.0,No,No
10562,21500.0,371.0,17.0,1.0,No,No
10563,84800.0,6057.0,57.0,2.0,No,No
10568,193200.0,3943.0,59.0,1.0,No,No
10570,0.0,0.0,13.0,2.0,Yes,No
10573,0.0,0.0,21.0,0.0,No,Yes
10574,185400.0,3708.0,91.0,2.0,No,No
10581,171000.0,5700.0,64.0,0.0,No,No
10582,13600.0,800.0,23.0,2.0,No,No
10583,56600.0,3538.0,41.0,0.0,No,Yes
10585,196400.0,3851.0,6.0,1.0,No,No
10586,55200.00000000001,1380.0,16.0,0.0,No,No
10590,195600.0,8504.0,51.0,0.0,No,Yes
10591,24600.0,1640.0,64.0,0.0,No,No
10592,104400.0,6960.0,44.0,0.0,No,No
10593,63800.0,15950.0,54.0,0.0,No,No
10595,73500.0,3500.0,49.0,1.0,No,Yes
10596,95600.0,5975.0,72.0,1.0,No,Yes
10603,20500.0,500.0,5.0,2.0,Yes,No
10604,0.0,0.0,13.0,1.0,No,Yes
10607,93500.0,11688.0,46.0,3.0,No,No
10608,68600.0,1559.0,84.0,0.0,No,Yes
10609,142000.0,3381.0,19.0,3.0,Yes,No
10613,97000.0,2310.0,75.0,0.0,No,No
10617,68600.0,2079.0,60.0,0.0,No,No
10618,99000.0,6600.0,91.0,0.0,No,No
10619,72900.0,3038.0,92.0,1.0,No,No
10623,69600.00000000001,1657.0,42.0,0.0,No,No
10624,39000.0,1950.0,24.0,2.0,Yes,No
10625,42800.0,2518.0,12.0,3.0,No,No
10627,140000.0,7368.0,77.0,0.0,No,No
10628,333200.0000000001,15867.0,63.0,0.0,No,No
10629,19200.0,519.0,34.0,0.0,Yes,No
10633,0.0,0.0,85.0,0.0,No,No
10634,102000.0,1925.0,74.0,2.0,Yes,No
10635,0.0,0.0,12.0,0.0,No,No
10638,35900.0,1056.0,15.0,0.0,No,No
10639,46500.0,830.0,79.0,1.0,No,Yes
10644,98100.0,3773.0,17.0,0.0,No,Yes
10645,28400.0,947.0,18.0,0.0,No,No
10646,124000.0,3351.0,54.0,0.0,No,No
10647,32900.0,2193.0,25.0,3.0,No,No
10648,80800.0,1369.0,41.0,0.0,No,Yes
10649,0.0,0.0,65.0,1.0,No,No
10652,0.0,0.0,47.0,2.0,No,No
10653,33000.00000000001,825.0,49.0,2.0,No,Yes
10654,53600.0,1051.0,58.0,1.0,No,No
10658,196800.0,19680.0,49.0,3.0,No,No
10659,260400.00000000003,6200.0,69.0,0.0,No,No
10660,28000.0,933.0,72.0,2.0,No,No
10661,133200.00000000006,8325.0,2.0,1.0,No,No
10663,0.0,0.0,72.0,0.0,No,No
10664,27000.0,771.0,17.0,0.0,No,No
10668,346500.0000000001,26654.0,66.0,1.0,No,No
10669,52800.00000000001,8800.0,63.0,3.0,No,No
10675,20800.0,671.0,13.0,1.0,No,Yes
10676,374400.0,7641.0,23.0,0.0,No,No
10677,44000.0,1419.0,66.0,0.0,No,No
10678,108800.0,4352.0,54.0,0.0,No,No
10680,13600.0,243.0,49.0,0.0,No,No
10683,11400.0,671.0,30.0,0.0,No,No
10685,17200.0,319.0,93.0,0.0,No,No
10687,79500.00000000001,1728.0,29.0,0.0,Yes,No
10688,181200.0,7878.0,79.0,1.0,No,Yes
10689,4600.0,82.0,56.0,1.0,No,No
10690,28000.0,667.0,88.0,3.0,Yes,No
10695,115600.0,1959.0,82.0,0.0,No,No
10696,482900.00000000006,16097.0,90.0,0.0,No,No
10697,29600.0,592.0,28.0,0.0,Yes,No
10699,264000.0,6947.0,53.0,2.0,No,No
10701,0.0,0.0,87.0,0.0,Yes,No
10702,32000.0,711.0,28.0,1.0,No,Yes
10703,120000.0,17143.0,3.0,0.0,No,No
10705,155200.0,2723.0,21.0,0.0,No,No
10706,216300.00000000003,9013.0,0.0,1.0,No,Yes
10708,45000.0,1098.0,34.0,0.0,No,No
10710,40000.0,2105.0,59.0,1.0,No,No
10711,64800.00000000001,2945.0,94.0,0.0,No,No
10712,82400.0,1585.0,26.0,0.0,No,Yes
10714,147200.0,2538.0,3.0,1.0,No,No
10716,32000.0,800.0,61.0,0.0,No,No
10718,348600.0000000001,8107.0,25.0,0.0,No,No
10723,67600.0,1878.0,15.0,1.0,No,No
10724,34000.0,773.0,79.0,3.0,No,No
10725,202500.0,4050.0,4.0,3.0,No,No
10726,20500.0,477.0,55.0,1.0,No,No
10729,283200.0000000001,4800.0,53.0,2.0,No,No
10732,28400.0,7100.0,15.0,1.0,No,No
10734,366800.0,7192.0,60.0,0.0,No,No
10736,33000.0,702.0,69.0,1.0,No,No
10737,204400.00000000003,4258.0,77.0,1.0,Yes,No
10739,80100.0,2584.0,22.0,0.0,No,No
10740,0.0,0.0,11.0,0.0,Yes,No
10745,352000.0,6175.0,17.0,0.0,No,No
10748,7100.0,142.0,51.0,0.0,Yes,Yes
10750,33600.0,862.0,69.0,1.0,No,No
10751,233000.0,4854.0,11.0,1.0,No,No
10752,80000.0,1356.0,19.0,0.0,No,No
10753,47600.00000000001,1587.0,6.0,0.0,No,No
10754,245500.0,5845.0,17.0,1.0,No,No
10755,52800.0,2514.0,91.0,1.0,No,No
10756,18000.0,3600.0,11.0,0.0,No,No
10757,66400.0,2012.0,67.0,2.0,Yes,No
10760,208500.0,3934.0,38.0,2.0,Yes,No
10762,133600.0,13360.0,15.0,1.0,No,No
10766,159200.0,3317.0,8.0,1.0,No,No
10768,0.0,0.0,17.0,0.0,No,No
10774,0.0,0.0,63.0,2.0,No,No
10775,78800.0,5629.0,5.0,0.0,No,Yes
10776,51600.00000000001,1613.0,48.0,3.0,No,No
10778,60900.00000000001,2342.0,7.0,1.0,No,No
10779,6400.0,457.0,45.0,0.0,No,Yes
10786,65600.0,1726.0,17.0,0.0,No,No
10790,166000.0,3192.0,13.0,2.0,No,Yes
10791,225400.00000000003,9392.0,9.0,0.0,No,No
10792,240000.0,7742.0,62.0,1.0,No,No
10793,378000.0,22235.0,1.0,0.0,No,No
10794,118500.0,2633.0,59.0,0.0,No,No
10795,297000.0,6188.0,1.0,0.0,No,Yes
10797,166400.0,5200.0,7.0,1.0,Yes,No
10798,0.0,0.0,21.0,2.0,Yes,No
10801,70800.00000000001,1686.0,38.0,1.0,No,No
10805,59600.0,14900.0,20.0,1.0,No,No
10806,60900.00000000001,1128.0,29.0,2.0,Yes,No
10807,16800.0,295.0,76.0,1.0,No,No
10812,96500.0,2298.0,83.0,0.0,No,No
10813,183200.0,6543.0,49.0,1.0,No,No
10816,388000.0,29846.0,86.0,0.0,No,No
10819,32900.0,700.0,5.0,2.0,No,No
10820,89600.0,1906.0,94.0,0.0,Yes,No
10821,96000.0,1811.0,40.0,2.0,No,No
10822,269500.0,53900.0,5.0,0.0,No,No
10823,340200.0000000001,12150.0,58.0,0.0,No,No
10826,54800.0,1075.0,78.0,0.0,No,No
10831,32800.0,1171.0,76.0,1.0,No,No
10833,85800.00000000001,3178.0,79.0,0.0,No,No
10835,191000.0,17364.0,87.0,0.0,No,No
10838,130200.0,3829.0,79.0,1.0,No,No
10839,28000.0,700.0,73.0,4.0,Yes,No
10844,132600.00000000006,2326.0,23.0,0.0,No,No
10851,69300.0,1732.0,47.0,0.0,No,No
10854,0.0,0.0,47.0,0.0,No,No
10859,19800.000000000004,396.0,41.0,1.0,No,No
10860,26600.0,502.0,65.0,0.0,No,No
10861,106000.0,3786.0,27.0,1.0,Yes,No
10864,52500.0,4038.0,77.0,2.0,No,No
10865,35000.0,814.0,17.0,0.0,No,No
10868,234800.0,10673.0,14.0,0.0,No,No
10869,110400.0,4246.0,63.0,0.0,No,Yes
10871,433200.00000000006,28880.0,72.0,0.0,No,No
10873,157500.0,4257.0,17.0,0.0,No,Yes
10876,64500.0,1194.0,4.0,0.0,No,Yes
10877,481000.0,8153.0,52.0,0.0,No,Yes
10878,134000.0,2913.0,67.0,1.0,No,No
10885,80500.0,1388.0,13.0,0.0,No,No
10886,20000.0,400.0,29.0,0.0,No,No
10887,157500.00000000006,6848.0,2.0,3.0,No,No
10890,8700.0,791.0,44.0,1.0,No,No
10891,271600.0,7544.0,25.0,0.0,No,No
10892,26400.0,3771.0,13.0,1.0,No,Yes
10894,185500.00000000003,3144.0,7.0,0.0,No,Yes
10896,25200.000000000004,615.0,91.0,3.0,No,No
10897,229500.0,4590.0,25.0,1.0,No,No
10898,91200.0,1754.0,26.0,1.0,No,No
10899,26400.000000000004,562.0,28.0,4.0,Yes,No
10903,79800.0,1451.0,24.0,0.0,No,No
10906,0.0,0.0,85.0,0.0,No,No
10907,40400.0,709.0,65.0,1.0,Yes,No
10908,24000.0,857.0,22.0,1.0,No,No
10912,174000.0,4047.0,51.0,2.0,No,No
10925,360100.0,7202.0,2.0,0.0,No,No
10926,54600.00000000001,1606.0,64.0,2.0,Yes,No
10928,132000.0,2870.0,81.0,0.0,No,No
10930,31500.0,955.0,13.0,0.0,No,No
10932,211500.0,4147.0,9.0,0.0,No,No
10934,195600.0,3556.0,43.0,4.0,No,No
10935,478500.0,19938.0,9.0,0.0,No,Yes
10936,52800.00000000001,2031.0,3.0,0.0,Yes,Yes
10937,203500.00000000003,16958.0,83.0,1.0,No,No
10938,168700.00000000006,4017.0,95.0,1.0,No,No
10939,196700.00000000003,4098.0,57.0,0.0,No,No
10940,0.0,0.0,4.0,2.0,Yes,Yes
10941,96000.0,9600.0,28.0,0.0,Yes,No
10944,61500.0,1367.0,75.0,0.0,No,No
10945,0.0,0.0,2.0,1.0,No,No
10946,16400.0,315.0,55.0,1.0,No,No
10948,133800.00000000006,22300.0,19.0,0.0,No,Yes
10950,96600.0,5682.0,58.0,0.0,No,No
10953,85500.0,2085.0,46.0,1.0,No,No
10957,120000.0,2400.0,74.0,0.0,No,No
10965,105600.0,11733.0,29.0,0.0,No,No
10975,112000.0,9333.0,89.0,0.0,No,No
10978,47500.0,5938.0,54.0,2.0,Yes,No
10979,88200.00000000001,3528.0,3.0,1.0,No,No
10982,40000.0,1739.0,56.0,0.0,No,No
10983,5200.0,118.0,7.0,1.0,No,No
10984,8800.0,587.0,60.0,2.0,Yes,Yes
10987,107500.0,2905.0,22.0,2.0,No,No
10989,50400.0,3600.0,49.0,1.0,No,Yes
10991,97600.0,4880.0,25.0,0.0,No,No
10992,124000.0,12400.0,39.0,4.0,No,No
10998,130400.0,5670.0,5.0,0.0,No,No
11001,181200.0,3624.0,61.0,0.0,No,No
11003,129000.0,6450.0,23.0,2.0,Yes,No
11004,121200.0,3565.0,40.0,0.0,No,No
11006,406000.00000000006,9667.0,24.0,4.0,No,No
11009,55000.0,1897.0,33.0,3.0,No,No
11010,0.0,0.0,20.0,0.0,No,No
11013,265800.0000000001,8306.0,15.0,0.0,No,No
11014,140400.0,3695.0,31.0,4.0,No,No
11015,0.0,0.0,25.0,1.0,No,No
11020,26100.000000000004,1864.0,77.0,0.0,No,No
11021,43400.000000000015,1009.0,17.0,1.0,No,Yes
11023,31400.0,541.0,21.0,1.0,No,No
11026,24500.0,1361.0,26.0,1.0,No,No
11028,66000.00000000001,1158.0,46.0,0.0,No,No
11032,370500.0,10897.0,37.0,2.0,No,No
11033,310800.0000000001,8179.0,94.0,1.0,Yes,No
11034,623700.0,15592.0,68.0,0.0,Yes,No
11036,178200.0,5940.0,73.0,0.0,No,No
11039,112000.0,2000.0,24.0,0.0,No,No
11040,20600.0,2943.0,39.0,1.0,No,No
11041,30500.0,545.0,92.0,0.0,No,No
11045,105300.0,2149.0,2.0,3.0,No,No
11047,96000.0,3556.0,24.0,0.0,No,No
11048,18200.0,827.0,31.0,3.0,Yes,No
11051,124500.0,6917.0,29.0,0.0,Yes,Yes
11055,25600.0,776.0,73.0,0.0,No,No
11057,70800.00000000001,1539.0,46.0,1.0,No,No
11060,39900.000000000015,1050.0,46.0,0.0,No,Yes
11061,51000.00000000001,6375.0,4.0,0.0,No,No
11063,35700.0,1050.0,26.0,1.0,No,No
11065,134400.0,2635.0,39.0,0.0,No,No
11068,222400.0,8896.0,10.0,1.0,No,No
11072,28000.0,875.0,51.0,1.0,No,No
11073,28500.0,2850.0,55.0,2.0,No,No
11077,122400.0,3308.0,66.0,0.0,No,No
11078,153600.0,6400.0,19.0,0.0,No,No
11081,0.0,0.0,90.0,1.0,No,No
11085,335300.0000000001,6096.0,75.0,0.0,No,No
11086,303800.0,8439.0,9.0,0.0,No,Yes
11087,213000.0,4841.0,84.0,1.0,No,No
11091,118000.0,7375.0,68.0,0.0,Yes,Yes
11092,128700.0,2627.0,6.0,0.0,No,No
11093,115000.0,3594.0,34.0,0.0,Yes,No
11094,49900.0,1160.0,1.0,2.0,No,No
11095,162000.0,4378.0,8.0,0.0,No,No
11097,39400.0,1515.0,54.0,0.0,No,No
11098,81200.0,1592.0,53.0,0.0,No,No
11099,492800.00000000006,37908.0,25.0,0.0,No,No
11101,84400.0,3376.0,93.0,0.0,No,No
11102,240500.0,4625.0,8.0,0.0,No,No
11103,124600.0,4297.0,74.0,1.0,No,Yes
11104,0.0,0.0,59.0,0.0,Yes,No
11105,138000.0,23000.0,64.0,2.0,No,Yes
11106,0.0,0.0,3.0,0.0,No,No
11110,99200.0,1908.0,80.0,1.0,No,No
11111,146400.0,29280.0,51.0,0.0,No,No
11115,0.0,0.0,29.0,0.0,No,No
11116,84000.0,2154.0,27.0,0.0,No,No
11117,99500.0,2163.0,8.0,2.0,No,Yes
11121,146500.0,3185.0,79.0,1.0,Yes,No
11123,96000.0,6400.0,9.0,0.0,No,Yes
11125,141600.0,2776.0,35.0,0.0,No,No
11128,184000.0,23000.0,0.0,0.0,No,No
11140,0.0,0.0,33.0,2.0,Yes,No
11141,18800.0,817.0,18.0,1.0,Yes,No
11142,25200.0,615.0,13.0,1.0,No,No
11143,153500.0,5904.0,42.0,1.0,No,No
11144,46200.00000000001,1925.0,5.0,4.0,No,No
11146,78600.0,4367.0,56.0,0.0,No,No
11147,41500.0,1122.0,2.0,0.0,No,No
11149,44400.0,2337.0,24.0,0.0,No,Yes
11151,208000.0,4522.0,64.0,2.0,No,No
11152,69500.0,1198.0,18.0,0.0,No,No
11153,520200.00000000006,13338.0,77.0,1.0,No,No
11154,22200.000000000004,1110.0,84.0,0.0,No,Yes
11159,328000.0,10581.0,24.0,0.0,Yes,Yes
11165,108400.0,2409.0,67.0,2.0,No,No
11166,68000.0,1619.0,61.0,0.0,No,No
11169,70400.0,1280.0,80.0,0.0,No,No
11170,305200.0,61040.0,28.0,0.0,No,Yes
11174,163500.0,3028.0,28.0,1.0,No,No
11180,66500.0,9500.0,42.0,0.0,No,Yes
11183,46800.0,4255.0,5.0,2.0,No,No
11185,16600.0,874.0,77.0,0.0,Yes,No
11190,128000.0,18286.0,12.0,0.0,No,No
11192,51000.0,1186.0,2.0,2.0,No,No
11194,61000.0,2905.0,33.0,0.0,No,No
11197,517400.0,11248.0,83.0,0.0,No,Yes
11200,40000.0,952.0,10.0,1.0,No,No
11201,279000.0,7154.0,37.0,1.0,No,No
11203,277600.0,16329.0,0.0,0.0,No,No
11204,40900.0,1239.0,55.0,2.0,No,No
11210,70400.0,1235.0,11.0,0.0,No,No
11214,204500.0,4173.0,4.0,0.0,No,No
11216,222400.0,5853.0,9.0,0.0,No,No
11218,13600.0,453.0,93.0,0.0,No,No
11220,34200.0,712.0,11.0,3.0,No,No
11222,194800.0,6717.0,72.0,1.0,No,Yes
11224,142200.00000000006,3026.0,22.0,1.0,No,No
11230,54800.0,3044.0,17.0,1.0,No,No
11235,69000.00000000001,9857.0,27.0,0.0,No,No
11237,138600.0,3850.0,77.0,0.0,No,Yes
11238,24800.0,428.0,5.0,1.0,No,No
11239,267600.0,7871.0,75.0,0.0,No,No
11240,50500.0,10100.0,22.0,1.0,No,No
11246,75500.0,3595.0,13.0,2.0,No,No
11247,22500.0,750.0,23.0,1.0,No,No
11249,43500.0,1012.0,32.0,0.0,No,No
11251,63000.0,1909.0,15.0,0.0,No,Yes
11252,171200.0,3567.0,59.0,0.0,No,No
11256,98100.0,3773.0,66.0,1.0,No,No
11261,74800.0,1360.0,65.0,1.0,No,Yes
11263,128800.0,3220.0,91.0,1.0,No,No
11264,90000.0,2903.0,23.0,0.0,No,No
11267,0.0,0.0,23.0,1.0,No,Yes
11271,98000.0,1815.0,43.0,2.0,No,No
11272,331800.0000000001,6260.0,95.0,2.0,No,Yes
11273,37800.0,1022.0,25.0,0.0,No,No
11275,53200.0,3325.0,9.0,0.0,No,Yes
11276,135000.00000000006,6429.0,59.0,0.0,No,No
11277,123300.0,4742.0,86.0,0.0,No,No
11278,79200.0,2263.0,75.0,0.0,No,No
11280,36000.0,1029.0,67.0,0.0,No,Yes
11281,0.0,0.0,49.0,0.0,No,Yes
11284,122000.0,3812.0,82.0,0.0,No,No
11285,0.0,0.0,18.0,0.0,No,No
11288,72400.0,2497.0,77.0,1.0,No,No
11290,72800.0,2275.0,64.0,0.0,No,Yes
11293,176400.0,4642.0,63.0,2.0,No,No
11295,139600.0,3035.0,89.0,0.0,No,No
11298,91600.0,1762.0,5.0,1.0,No,No
11300,162900.0,3973.0,40.0,0.0,No,Yes
11301,275000.0,6250.0,78.0,0.0,No,No
11302,131000.0,4094.0,20.0,0.0,No,No
11304,149200.0,3243.0,90.0,4.0,Yes,No
11308,279000.0000000001,6341.0,24.0,0.0,No,No
11309,74200.0,1400.0,33.0,1.0,Yes,No
11311,0.0,0.0,86.0,0.0,No,No
11313,198100.00000000003,16508.0,14.0,1.0,No,Yes
11315,109200.0,2663.0,68.0,0.0,Yes,No
11319,160500.0,10031.0,90.0,0.0,No,No
11321,46900.0,977.0,17.0,2.0,No,No
11323,80000.0,3636.0,40.0,2.0,No,No
11327,48800.0,1574.0,19.0,1.0,No,Yes
11328,53900.00000000001,1100.0,62.0,1.0,No,No
11332,50400.0,1029.0,88.0,1.0,No,No
11333,81900.00000000001,4095.0,88.0,2.0,No,No
11335,54900.0,1615.0,68.0,0.0,No,No
11336,153200.0,2641.0,75.0,0.0,No,No
11340,124800.0,7800.0,69.0,0.0,No,No
11342,35200.0,690.0,63.0,2.0,No,No
11346,94800.0,3511.0,44.0,1.0,No,No
11350,34500.0,1113.0,71.0,0.0,No,No
11352,58000.0,1018.0,91.0,2.0,No,Yes
11353,68500.0,2740.0,26.0,0.0,No,No
11355,105000.0,5526.0,84.0,2.0,No,No
11359,0.0,0.0,65.0,0.0,Yes,No
11362,85800.00000000001,9533.0,55.0,3.0,No,No
11366,12200.0,1525.0,29.0,2.0,No,No
11368,43400.0,8680.0,84.0,3.0,No,No
11369,137200.0,4426.0,73.0,2.0,No,No
11370,6000.0,120.0,80.0,0.0,No,Yes
11372,0.0,0.0,37.0,2.0,No,No
11378,102600.0,4886.0,90.0,0.0,Yes,Yes
