ApplicationNumber,Age,Gender,IncomeSource,Income,Loan,LoanTerm,CIBIL,CoAppStatus,CoAppCIBIL,CoAppIncome,ApplicationThrough,ApplicationTime,MobileOS,Score
10302,60,Male,Salaried,33000.0,469000.0,31.0,809.0,No,,,DirectOnline,18:43:00,Android,38.0
10303,20,Male,Business,22000.0,275000.0,33.0,318.0,No,,,DirectBank,14:10:00,,45.0
10305,62,Female,Business,48000.0,73000.0,25.0,357.0,No,,,DirectBank,15:54:00,,47.0
10309,62,Female,Self Employed,37000.0,250000.0,32.0,553.0,Yes,705.0,10000.0,DirectOnline,11:27:00,Android,50.0
10310,24,Female,Salaried,53000.0,255000.0,15.0,,No,,,PaidAd,19:01:00,Android,46.0
10312,48,Female,Self Employed,45000.0,94000.0,15.0,651.0,Yes,566.0,28000.0,DirectOnline,20:45:00,Android,47.0
10313,54,Female,Self Employed,35000.0,373000.0,31.0,573.0,Yes,412.0,42000.0,DirectBank,09:52:00,,50.0
10314,63,Male,Self Employed,58000.0,214000.0,32.0,705.0,Yes,535.0,19000.0,PaidAd,08:34:00,iOS,49.0
10316,45,Female,Self Employed,38000.0,165000.0,18.0,522.0,Yes,455.0,54000.0,DirectBank,10:03:00,,39.0
10321,20,Male,Self Employed,63000.0,361000.0,25.0,580.0,Yes,664.0,15000.0,Agent,09:08:00,,47.0
10322,45,Male,Business,59000.0,306000.0,35.0,740.0,Yes,546.0,42000.0,PaidAd,13:02:00,Android,42.0
10323,29,Female,Professional,39000.0,450000.0,23.0,351.0,No,,,DirectBank,10:58:00,,43.0
10325,64,Female,Business,35000.0,80000.0,24.0,593.0,No,,,DirectBank,12:11:00,,48.0
10326,49,Female,Business,32000.0,421000.0,27.0,618.0,Yes,355.0,94000.0,DirectBank,14:58:00,,44.0
10327,31,Male,Self Employed,20000.0,175000.0,31.0,504.0,No,,,DirectBank,14:39:00,,45.0
10328,37,Male,Business,25000.0,66000.0,22.0,525.0,Yes,783.0,52000.0,DirectBank,14:22:00,,47.0
10330,26,Male,Self Employed,49000.0,302000.0,25.0,599.0,Yes,644.0,36000.0,DirectBank,10:24:00,,46.0
10332,40,Male,Business,18000.0,356000.0,32.0,626.0,No,,,Agent,12:40:00,,49.0
10333,25,Female,Self Employed,91000.0,474000.0,18.0,595.0,Yes,309.0,29000.0,PaidAd,12:30:00,Android,50.0
10334,20,Male,Salaried,57000.0,103000.0,14.0,560.0,Yes,895.0,12000.0,Agent,17:42:00,,38.0
10335,28,Female,Salaried,11000.0,45000.0,16.0,566.0,Yes,,7000.0,PaidAd,10:00:00,iOS,35.0
10336,58,Male,Self Employed,58000.0,150000.0,34.0,471.0,No,,,DirectBank,09:38:00,,43.0
10339,27,Male,Business,60000.0,185000.0,15.0,338.0,Yes,613.0,37000.0,Agent,17:11:00,,38.0
10340,62,Male,Business,12000.0,158000.0,19.0,548.0,Yes,891.0,8000.0,PaidAd,10:52:00,Android,42.0
10344,60,Female,Self Employed,19000.0,96000.0,24.0,775.0,No,,,DirectBank,17:54:00,,39.0
10351,59,Male,Self Employed,62000.0,248000.0,22.0,528.0,Yes,677.0,6000.0,DirectBank,09:36:00,,43.0
10353,44,Female,Self Employed,59000.0,67000.0,26.0,443.0,Yes,499.0,5000.0,DirectBank,11:46:00,,46.0
10355,38,Female,Business,25000.0,129000.0,15.0,591.0,Yes,333.0,51000.0,DirectBank,10:42:00,,38.0
10356,46,Female,Business,71000.0,227000.0,14.0,606.0,Yes,526.0,43000.0,DirectOnline,14:30:00,Android,49.0
10360,60,Male,Salaried,25000.0,102000.0,33.0,623.0,No,,,DirectBank,09:48:00,,41.0
10368,64,Male,Self Employed,33000.0,362000.0,35.0,537.0,No,,,DirectBank,09:29:00,,49.0
10369,25,Female,Business,14000.0,50000.0,30.0,564.0,Yes,535.0,42000.0,DirectBank,15:09:00,,43.0
10371,40,Female,Business,50000.0,81000.0,20.0,421.0,No,,,DirectOnline,13:58:00,Android,39.0
10373,32,Male,Professional,6000.0,241000.0,23.0,833.0,Yes,,14000.0,DirectBank,13:46:00,,48.0
10376,44,Male,Salaried,57000.0,189000.0,34.0,858.0,No,,,DirectBank,17:09:00,,38.0
10377,37,Male,Salaried,25000.0,197000.0,27.0,427.0,No,,,DirectBank,16:12:00,,47.0
10379,31,Male,Self Employed,10000.0,42000.0,20.0,650.0,No,,,DirectOnline,08:27:00,Android,50.0
10382,42,Female,Self Employed,55000.0,758000.0,32.0,,Yes,543.0,53000.0,DirectBank,14:41:00,,49.0
10384,32,Male,Self Employed,42000.0,799000.0,19.0,742.0,No,,,DirectBank,17:30:00,,48.0
10388,42,Female,Salaried,44000.0,193000.0,16.0,,No,,,Agent,13:15:00,,47.0
10389,65,Male,Salaried,41000.0,117000.0,27.0,663.0,Yes,660.0,33000.0,DirectOnline,13:03:00,Android,50.0
10390,54,Female,Self Employed,79000.0,109000.0,25.0,,Yes,896.0,58000.0,DirectBank,14:09:00,,47.0
10392,55,Female,Salaried,34000.0,162000.0,15.0,,No,,,DirectBank,17:28:00,,37.0
10394,52,Female,Self Employed,33000.0,87000.0,27.0,801.0,No,,,DirectOnline,06:23:00,iOS,41.0
10395,24,Male,Professional,55000.0,250000.0,32.0,611.0,Yes,339.0,45000.0,DirectBank,14:54:00,,43.0
10398,29,Male,Self Employed,38000.0,91000.0,27.0,595.0,No,,,DirectBank,17:07:00,,44.0
10400,59,Male,Self Employed,22000.0,479000.0,18.0,687.0,No,,,DirectBank,12:39:00,,48.0
10401,33,Female,Business,97000.0,92000.0,31.0,642.0,Yes,,28000.0,DirectBank,09:05:00,,44.0
10402,47,Male,Self Employed,9000.0,245000.0,26.0,561.0,Yes,,43000.0,DirectBank,13:39:00,,50.0
10403,65,Female,Self Employed,34000.0,361000.0,28.0,822.0,No,,,DirectBank,11:37:00,,49.0
10407,27,Female,Self Employed,35000.0,116000.0,27.0,627.0,Yes,891.0,28000.0,DirectBank,13:34:00,,42.0
10411,26,Female,Professional,44000.0,298000.0,22.0,593.0,No,,,DirectBank,11:24:00,,47.0
10414,50,Male,Self Employed,78000.0,108000.0,18.0,610.0,Yes,721.0,84000.0,DirectOnline,14:23:00,Android,48.0
10415,54,Female,Self Employed,37000.0,226000.0,14.0,,No,,,DirectOnline,13:20:00,Android,46.0
10416,58,Female,Self Employed,89000.0,236000.0,20.0,648.0,No,,,PaidAd,16:28:00,Android,48.0
10418,26,Female,Business,19000.0,410000.0,26.0,588.0,Yes,338.0,48000.0,DirectBank,12:31:00,,49.0
10421,34,Male,Self Employed,60000.0,100000.0,28.0,527.0,Yes,399.0,41000.0,DirectBank,16:36:00,,45.0
10423,36,Male,Self Employed,13000.0,136000.0,27.0,445.0,Yes,670.0,97000.0,DirectBank,13:31:00,,47.0
10424,29,Male,Self Employed,84000.0,241000.0,27.0,,No,,,PaidAd,12:33:00,Android,50.0
10426,54,Female,Self Employed,60000.0,383000.0,25.0,,No,,,DirectBank,11:36:00,,50.0
10429,28,Male,Salaried,39000.0,205000.0,15.0,640.0,No,,,DirectBank,14:04:00,,35.0
10430,47,Male,Self Employed,53000.0,257000.0,22.0,703.0,Yes,,5000.0,DirectBank,14:37:00,,43.0
10431,33,Male,Salaried,96000.0,283000.0,31.0,760.0,Yes,595.0,54000.0,DirectOnline,19:23:00,Android,40.0
10434,34,Others,Self Employed,55000.0,272000.0,29.0,342.0,Yes,528.0,45000.0,PaidAd,12:47:00,Android,41.0
10435,28,Male,Professional,46000.0,121000.0,21.0,790.0,Yes,487.0,55000.0,Agent,12:30:00,,32.0
10436,26,Male,Self Employed,17000.0,614000.0,30.0,591.0,No,,,Agent,12:45:00,,47.0
10437,39,Female,Self Employed,63000.0,106000.0,26.0,529.0,No,,,PaidAd,16:13:00,Android,46.0
10438,45,Male,Professional,47000.0,47000.0,31.0,315.0,No,,,DirectBank,15:35:00,,47.0
10445,33,Male,Self Employed,23000.0,134000.0,30.0,466.0,No,,,DirectOnline,19:34:00,Android,48.0
10446,55,Male,Self Employed,59000.0,417000.0,20.0,307.0,No,,,DirectBank,14:26:00,,45.0
10449,49,Female,Professional,95000.0,274000.0,22.0,818.0,Yes,492.0,14000.0,DirectOnline,01:14:00,Android,45.0
10450,20,Male,Self Employed,6000.0,82000.0,34.0,465.0,No,,,DirectBank,14:39:00,,45.0
10452,63,Female,Self Employed,99000.0,408000.0,28.0,512.0,Yes,691.0,28000.0,DirectBank,09:42:00,,45.0
10453,49,Male,Business,78000.0,386000.0,18.0,892.0,Yes,596.0,52000.0,DirectOnline,16:23:00,Android,39.0
10454,47,Female,Self Employed,19000.0,94000.0,26.0,509.0,No,,,DirectBank,16:01:00,,43.0
10456,30,Female,Business,11000.0,275000.0,13.0,680.0,Yes,647.0,36000.0,DirectBank,17:41:00,,48.0
10458,22,Female,Self Employed,36000.0,311000.0,24.0,,Yes,528.0,31000.0,PaidAd,12:47:00,Android,44.0
10461,45,Female,Self Employed,46000.0,52000.0,19.0,532.0,No,,,Agent,10:24:00,,47.0
10462,27,Male,Salaried,87000.0,780000.0,31.0,639.0,Yes,518.0,51000.0,DirectOnline,08:07:00,Android,41.0
10466,24,Female,Self Employed,38000.0,379000.0,30.0,544.0,No,,,DirectBank,15:45:00,,43.0
10468,29,Male,Salaried,58000.0,463000.0,19.0,580.0,No,,,PaidAd,09:13:00,Android,43.0
10469,65,Female,Business,70000.0,458000.0,26.0,617.0,Yes,576.0,8000.0,DirectBank,14:25:00,,34.0
10470,62,Male,Self Employed,56000.0,479000.0,30.0,561.0,Yes,734.0,32000.0,DirectBank,11:26:00,,42.0
10471,40,Female,Self Employed,19000.0,230000.0,17.0,864.0,Yes,633.0,17000.0,DirectBank,13:32:00,,39.0
10472,47,Female,Salaried,12000.0,301000.0,19.0,613.0,No,,,DirectBank,14:30:00,,50.0
10473,42,Male,Salaried,5000.0,370000.0,26.0,732.0,No,,,PaidAd,18:45:00,iOS,48.0
10474,30,Male,Salaried,28000.0,304000.0,18.0,599.0,No,,,DirectBank,17:34:00,,37.0
10483,50,Male,Salaried,43000.0,185000.0,22.0,474.0,Yes,594.0,42000.0,DirectBank,13:51:00,,47.0
10486,50,Male,Self Employed,95000.0,46000.0,21.0,,No,,,DirectBank,10:10:00,,49.0
10487,29,Female,Salaried,51000.0,101000.0,28.0,558.0,No,,,DirectBank,17:18:00,,37.0
10488,41,Male,Self Employed,20000.0,287000.0,23.0,,No,,,DirectBank,10:59:00,,50.0
10489,21,Male,Self Employed,45000.0,84000.0,13.0,568.0,Yes,609.0,19000.0,DirectOnline,22:41:00,Android,48.0
10490,23,Female,Business,86000.0,191000.0,16.0,333.0,No,,,DirectBank,11:22:00,,39.0
10491,55,Male,Self Employed,28000.0,153000.0,22.0,411.0,No,,,DirectBank,12:55:00,,47.0
10496,35,Female,Self Employed,48000.0,588000.0,33.0,711.0,Yes,377.0,55000.0,DirectOnline,17:16:00,Android,47.0
10498,22,Female,Business,67000.0,470000.0,19.0,,No,,,Agent,11:09:00,,48.0
10499,24,Male,Salaried,51000.0,152000.0,18.0,708.0,No,,,DirectBank,10:42:00,,36.0
10501,25,Female,Self Employed,21000.0,198000.0,34.0,680.0,No,,,DirectOnline,01:07:00,Android,49.0
10502,28,Female,Business,50000.0,312000.0,26.0,464.0,No,,,DirectBank,12:17:00,,42.0
10503,50,Female,Salaried,24000.0,168000.0,26.0,360.0,Yes,591.0,82000.0,PaidAd,19:04:00,Android,42.0
10506,45,Female,Salaried,26000.0,65000.0,19.0,392.0,No,,,DirectBank,10:48:00,,35.0
10507,50,Male,Professional,70000.0,201000.0,24.0,710.0,Yes,761.0,19000.0,PaidAd,09:08:00,Android,44.0
10511,31,Female,Business,38000.0,58000.0,19.0,443.0,Yes,320.0,48000.0,DirectBank,16:42:00,,42.0
10512,38,Male,Salaried,31000.0,169000.0,26.0,614.0,No,,,DirectBank,17:46:00,,42.0
10517,47,Male,Salaried,45000.0,108000.0,32.0,666.0,No,,,DirectOnline,18:17:00,Android,41.0
10518,59,Female,Self Employed,51000.0,184000.0,17.0,448.0,No,,,DirectBank,10:57:00,,46.0
10520,28,Female,Self Employed,27000.0,249000.0,31.0,583.0,No,,,DirectBank,16:32:00,,49.0
10523,46,Female,Self Employed,46000.0,140000.0,32.0,581.0,No,,,DirectBank,13:29:00,,47.0
10526,45,Female,Business,15000.0,234000.0,14.0,801.0,No,,,PaidAd,13:59:00,Android,42.0
10529,34,Female,Self Employed,76000.0,393000.0,26.0,788.0,Yes,624.0,13000.0,DirectOnline,17:34:00,Android,49.0
10530,36,Male,Self Employed,86000.0,433000.0,18.0,419.0,No,,,PaidAd,20:37:00,Android,47.0
10531,42,Female,Self Employed,79000.0,77000.0,13.0,571.0,Yes,514.0,18000.0,Agent,15:58:00,,49.0
10532,24,Female,Business,27000.0,272000.0,19.0,589.0,Yes,,15000.0,DirectBank,11:06:00,,42.0
10533,47,Female,Self Employed,43000.0,808000.0,21.0,652.0,Yes,798.0,55000.0,DirectOnline,19:39:00,Android,48.0
10534,58,Male,Self Employed,51000.0,48000.0,28.0,752.0,No,,,DirectBank,17:26:00,,44.0
10541,21,Male,Salaried,13000.0,177000.0,24.0,624.0,Yes,598.0,51000.0,DirectBank,13:47:00,,49.0
10542,32,Female,Salaried,29000.0,82000.0,17.0,496.0,Yes,640.0,13000.0,DirectOnline,14:20:00,iOS,50.0
10544,28,Female,Self Employed,25000.0,49000.0,22.0,658.0,No,,,DirectOnline,19:18:00,Android,42.0
10547,21,Male,Professional,98000.0,331000.0,34.0,482.0,No,,,DirectOnline,11:18:00,Android,49.0
10549,21,Male,Self Employed,30000.0,78000.0,24.0,409.0,Yes,567.0,95000.0,PaidAd,13:01:00,iOS,41.0
10550,45,Female,Business,56000.0,632000.0,23.0,847.0,Yes,,39000.0,Agent,09:05:00,,40.0
10552,61,Male,Self Employed,56000.0,166000.0,19.0,659.0,Yes,339.0,77000.0,DirectBank,14:58:00,,50.0
10553,50,Female,Self Employed,15000.0,68000.0,29.0,618.0,No,,,PaidAd,19:32:00,Android,50.0
10554,56,Male,Salaried,46000.0,248000.0,27.0,620.0,Yes,376.0,83000.0,DirectBank,14:26:00,,46.0
10556,50,Female,Salaried,9000.0,67000.0,30.0,,No,,,DirectBank,09:34:00,,36.0
10557,24,Male,Salaried,51000.0,90000.0,26.0,517.0,Yes,540.0,56000.0,DirectBank,15:13:00,,46.0
10558,37,Female,Self Employed,26000.0,454000.0,35.0,326.0,No,,,DirectBank,15:46:00,,48.0
10562,21,Male,Salaried,6000.0,43000.0,13.0,599.0,Yes,678.0,40000.0,DirectBank,11:22:00,,47.0
10563,45,Female,Self Employed,18000.0,212000.0,18.0,543.0,No,,,PaidAd,08:00:00,iOS,48.0
10568,55,Female,Business,44000.0,483000.0,35.0,599.0,Yes,384.0,42000.0,DirectOnline,15:02:00,Android,49.0
10570,29,Female,Business,15000.0,141000.0,25.0,470.0,No,,,DirectBank,14:31:00,,44.0
10573,23,Male,Salaried,11000.0,61000.0,22.0,528.0,No,,,DirectOnline,15:16:00,Android,44.0
10574,46,Male,Salaried,36000.0,927000.0,27.0,375.0,Yes,599.0,53000.0,DirectBank,12:09:00,,49.0
10581,33,Female,Business,20000.0,342000.0,24.0,718.0,No,,,DirectOnline,20:38:00,Android,39.0
10582,24,Female,Business,17000.0,68000.0,23.0,386.0,Yes,428.0,39000.0,DirectOnline,15:22:00,Android,49.0
10583,29,Male,Professional,47000.0,283000.0,23.0,554.0,Yes,470.0,28000.0,DirectBank,14:11:00,,44.0
10585,28,Female,Self Employed,63000.0,491000.0,21.0,324.0,Yes,,28000.0,PaidAd,16:30:00,Android,40.0
10586,32,Male,Salaried,47000.0,92000.0,27.0,312.0,No,,,DirectOnline,14:10:00,iOS,44.0
10590,27,Male,Salaried,57000.0,489000.0,20.0,877.0,Yes,368.0,36000.0,Agent,10:05:00,,42.0
10591,53,Male,Business,93000.0,246000.0,13.0,667.0,Yes,692.0,48000.0,Agent,11:13:00,,32.0
10592,48,Male,Salaried,50000.0,261000.0,32.0,689.0,Yes,464.0,27000.0,DirectOnline,09:34:00,Android,46.0
10593,48,Male,Self Employed,98000.0,319000.0,24.0,598.0,No,,,DirectBank,09:15:00,,30.0
10595,28,Female,Salaried,74000.0,147000.0,17.0,450.0,Yes,,15000.0,PaidAd,23:20:00,Android,47.0
10596,49,Male,Professional,40000.0,239000.0,22.0,630.0,Yes,453.0,16000.0,DirectOnline,20:27:00,iOS,48.0
10603,48,Male,Self Employed,40000.0,41000.0,32.0,557.0,No,,,DirectBank,10:16:00,,50.0
10604,24,Female,Self Employed,45000.0,339000.0,23.0,621.0,Yes,593.0,6000.0,DirectBank,12:00:00,,45.0
10607,35,Female,Self Employed,49000.0,187000.0,35.0,421.0,Yes,846.0,8000.0,DirectBank,15:21:00,,46.0
10608,46,Female,Self Employed,36000.0,98000.0,29.0,632.0,Yes,532.0,44000.0,DirectBank,17:06:00,,44.0
10609,43,Female,Salaried,43000.0,284000.0,20.0,,No,,,DirectOnline,10:32:00,iOS,50.0
10613,43,Female,Self Employed,56000.0,194000.0,20.0,601.0,No,,,DirectOnline,11:37:00,Android,45.0
10617,60,Female,Salaried,87000.0,98000.0,16.0,424.0,No,,,DirectBank,10:48:00,,29.0
10618,44,Male,Self Employed,51000.0,66000.0,13.0,557.0,Yes,595.0,37000.0,DirectBank,11:06:00,,39.0
10619,43,Male,Salaried,72000.0,81000.0,29.0,378.0,Yes,623.0,12000.0,DirectBank,14:17:00,,46.0
10623,39,Female,Self Employed,37000.0,116000.0,16.0,603.0,Yes,523.0,44000.0,DirectBank,17:04:00,,37.0
10624,24,Female,Salaried,39000.0,78000.0,29.0,615.0,No,,,DirectBank,11:34:00,,41.0
10625,20,Female,Self Employed,27000.0,428000.0,23.0,582.0,Yes,661.0,41000.0,DirectBank,14:34:00,,48.0
10627,27,Male,Business,81000.0,350000.0,25.0,863.0,Yes,469.0,64000.0,DirectOnline,15:07:00,Android,40.0
10628,48,Female,Self Employed,31000.0,476000.0,19.0,608.0,No,,,DirectOnline,16:16:00,iOS,50.0
10629,34,Male,Professional,8000.0,96000.0,14.0,885.0,Yes,,35000.0,PaidAd,12:05:00,Android,47.0
10633,36,Female,Self Employed,40000.0,138000.0,21.0,644.0,Yes,685.0,44000.0,DirectBank,17:55:00,,38.0
10634,60,Female,Business,21000.0,340000.0,26.0,589.0,No,,,DirectBank,14:17:00,,50.0
10635,44,Male,Salaried,16000.0,455000.0,29.0,454.0,Yes,835.0,31000.0,DirectOnline,13:26:00,Android,44.0
10638,25,Female,Salaried,8000.0,359000.0,26.0,548.0,Yes,522.0,15000.0,PaidAd,18:48:00,Android,48.0
10639,54,Female,Business,22000.0,93000.0,24.0,897.0,Yes,513.0,36000.0,DirectBank,15:20:00,,42.0
10644,25,Female,Self Employed,47000.0,327000.0,30.0,,No,,,PaidAd,15:39:00,Android,44.0
10645,41,Male,Self Employed,15000.0,71000.0,29.0,307.0,No,,,DirectBank,15:15:00,,45.0
10646,41,Male,Self Employed,43000.0,248000.0,18.0,361.0,Yes,480.0,5000.0,PaidAd,19:38:00,Android,44.0
10647,23,Male,Self Employed,97000.0,47000.0,19.0,748.0,No,,,DirectBank,17:01:00,,36.0
10648,50,Male,Professional,39000.0,202000.0,20.0,543.0,No,,,PaidAd,11:59:00,Android,42.0
10649,26,Male,Business,8000.0,202000.0,31.0,411.0,Yes,671.0,92000.0,DirectBank,11:08:00,,48.0
10652,49,Male,Salaried,35000.0,329000.0,25.0,417.0,Yes,817.0,13000.0,DirectBank,16:00:00,,40.0
10653,47,Female,Self Employed,12000.0,55000.0,12.0,582.0,No,,,DirectBank,12:45:00,,48.0
10654,60,Male,Salaried,52000.0,134000.0,26.0,787.0,No,,,DirectOnline,19:59:00,Android,41.0
10658,63,Female,Self Employed,60000.0,492000.0,26.0,824.0,Yes,487.0,13000.0,DirectBank,09:23:00,,48.0
10659,41,Male,Salaried,32000.0,434000.0,27.0,404.0,Yes,311.0,55000.0,DirectOnline,18:40:00,Android,49.0
10660,32,Female,Self Employed,8000.0,280000.0,18.0,604.0,No,,,DirectBank,12:55:00,,42.0
10661,22,Male,Professional,6000.0,222000.0,19.0,850.0,Yes,422.0,99000.0,DirectBank,15:43:00,,44.0
10663,35,Male,Salaried,9000.0,437000.0,29.0,571.0,Yes,,17000.0,DirectBank,17:06:00,,36.0
10664,43,Male,Business,5000.0,135000.0,29.0,525.0,No,,,DirectBank,11:54:00,,43.0
10668,34,Male,Salaried,10000.0,495000.0,29.0,601.0,Yes,,56000.0,PaidAd,10:35:00,Android,50.0
10669,50,Male,Self Employed,55000.0,88000.0,18.0,638.0,Yes,456.0,8000.0,DirectBank,14:12:00,,45.0
10675,53,Female,Salaried,81000.0,52000.0,15.0,779.0,Yes,791.0,75000.0,DirectBank,10:34:00,,29.0
10676,24,Female,Business,5000.0,288000.0,21.0,636.0,No,,,DirectBank,14:14:00,,48.0
10677,35,Male,Self Employed,5000.0,88000.0,22.0,567.0,Yes,566.0,58000.0,DirectOnline,08:23:00,Android,50.0
10678,37,Male,Salaried,35000.0,136000.0,22.0,618.0,No,,,PaidAd,15:16:00,Android,38.0
10680,64,Female,Business,14000.0,136000.0,34.0,558.0,Yes,538.0,50000.0,DirectBank,09:04:00,,42.0
10683,37,Female,Business,75000.0,114000.0,26.0,538.0,Yes,376.0,30000.0,DirectOnline,12:02:00,Android,40.0
10685,49,Male,Salaried,34000.0,43000.0,26.0,500.0,Yes,694.0,93000.0,DirectOnline,16:18:00,Android,43.0
10687,22,Female,Professional,6000.0,265000.0,26.0,515.0,Yes,785.0,55000.0,DirectBank,12:35:00,,41.0
10688,44,Female,Self Employed,38000.0,453000.0,19.0,699.0,No,,,DirectBank,15:41:00,,50.0
10689,48,Male,Self Employed,96000.0,46000.0,19.0,620.0,No,,,DirectBank,15:52:00,,44.0
10690,51,Male,Self Employed,16000.0,56000.0,22.0,,Yes,884.0,59000.0,DirectBank,11:21:00,,50.0
10695,41,Male,Professional,55000.0,289000.0,31.0,355.0,No,,,PaidAd,11:41:00,Android,48.0
10696,33,Female,Salaried,9000.0,439000.0,19.0,384.0,Yes,591.0,48000.0,DirectBank,12:29:00,,49.0
10697,40,Male,Salaried,52000.0,74000.0,27.0,692.0,Yes,683.0,19000.0,DirectOnline,20:54:00,Android,44.0
10699,26,Male,Salaried,5000.0,330000.0,27.0,649.0,No,,,DirectBank,09:01:00,,48.0
